GeneSymbol,log2FC_db_dw,pvalue,alias,Entrez
SPRR1A,4.405632,1.18E-43,Spr|Spr1a|Sprr|Sprr1|Sprr1a,499660
NPTX1,2.3235111,1.19E-43,,266777
SSTR3,3.0217788,1.51E-43,SSTR|Smstr28,171044
HOMER1,1.6634928,5.16E-43,HOMER1F|Vesl-1,29546
NAB2,1.9878603,6.96E-43,,314910
ALOXE3,2.4174693,2.52E-42,e-LOX-3|eLOX-3,287424
SERTAD1,2.2239814,2.65E-42,,361526
GPR68,2.5399456,2.66E-41,,314386
EGR4,3.1501546,4.21E-41,Egr4l1|NGFI-C,25129
LBH,1.3661401,6.01E-41,,683626
DAAM1,-1.1606426,7.91E-41,,314212
RT1-S3,2.45826,5.13E-40,H2-T23|RT-BM1|RT1-BM1|R,294228
SSTR4,2.0445876,6.55E-40,Smstr4,25555
PCDH8,1.7111181,8.03E-40,Arcadlin,64865
PTAFR,3.4609513,1.20E-39,,58949
PLCL1,1.8863832,2.60E-39,,84587
DHRS9,3.8141215,4.01E-38,Rdhl,170635
SLCO2A1,3.8286128,1.77E-37,Matr1|Slc21a2,24546
KLF9,1.8472241,4.20E-36,Bteb|Bteb1,117560
VASP,1.8119922,7.63E-36,,361517
ISM1,3.1125116,8.86E-36,RGD1562551,311760
OSBP2,1.3585519,9.21E-36,RGD1309479,305475
MEIS2,1.2149252,1.08E-35,,311311
MYT1L,-1.253483,1.69E-35,Nzf-1|Nzf1|Nztf1,116668
FAM110C,3.6874802,2.14E-35,,500638
MAN1A1,2.551768,2.79E-35,Aa2-166|Man1a,294410
IRS2,1.6023843,3.76E-35,4PS|IRS-2,29376
SPRY2,1.3205673,4.32E-35,,306141
SPHK1,3.0671668,6.52E-35,,170897
AREG,3.6564286,1.21E-34,,29183
RDH10,1.7078578,1.30E-34,,353252
GCNT1,3.2552552,2.13E-34,core,64043
MYCL,-2.4887106,6.92E-34,Lmyc1|Mycl1,298506
DUSP4,2.4186413,1.97E-33,Mkp-2|Mkp2,60587
INHBA,2.3958855,2.04E-33,,29200
ADCY8,1.7645378,4.52E-33,Ac8,29241
KCNJ4,1.2723438,5.24E-33,Hirk2,116649
PDXK,2.2978668,1.10E-32,,83578
SCN2A,-1.0416238,4.14E-32,NachII|Nav1.2|RII/RIIA|RNSC,24766
LMNA,1.6316702,4.87E-32,,60374
PRIMA1,3.1429088,9.42E-32,PRiMA|Prima1l,690195
KCNA1,2.5377295,1.93E-31,Kcna|Kcpvd|Kv1.1,24520
IFRD1,1.5897458,3.00E-31,Pc4,29596
IER5,1.8107331,4.45E-31,,498256
TRIB2,1.0827541,5.40E-31,RGD1564451,313974
SMAGP,2.7230294,5.71E-31,,300236
DRD5,3.8985677,7.07E-31,D1B,25195
IL6R,2.301657,1.60E-30,IL6R1|Il6ra,24499
FAM84A,1.5672331,1.86E-30,RGD1305779,313969
INSC,3.1004944,1.88E-30,RGD1311379,293166
CYP27B1,2.0879796,3.07E-30,Cyp40,114700
GAL,3.638903,4.39E-30,Galn,29141
ITGA6,1.8318036,4.59E-30,,114517
PIK3IP1,-1.2761761,5.60E-30,RGD1311203|zgc:66482,305472
NPL,1.8066884,9.61E-30,,304860
HS3ST5,1.6394793,1.43E-29,,294449
ACAN,2.3603435,1.89E-29,Agc|Agc1,58968
FST,-2.2953715,3.23E-29,FOL1|FS|Fst-288|RATFOL1,24373
FRMD6,1.591484,3.23E-29,,257646
CRHBP,2.8745425,1.69E-28,Crfbp,29625
GEM,2.114901,2.35E-28,,297902
FOS,1.8276407,3.46E-28,c-fos,314322
FGFR1,1.739113,1.00E-27,,79114
NRN1,2.0853286,1.11E-27,Nrn,83834
EHD4,1.4695604,1.22E-27,Past2,192204
C1QL3,1.7291608,1.40E-27,,680404
PRICKLE1,1.6093031,2.63E-27,Rilp,315259
MTUS2,-1.7557187,1.02E-26,RGD1562533,498136
ADORA1,1.7060324,1.44E-26,,29290
C1QL2,3.2518566,1.46E-26,,288979
LEXM,2.7456307,1.92E-26,RGD1559493,500516
BHLHE22,-2.3506196,2.87E-26,Bhlhb5,365748
RGS16,1.710074,3.55E-26,,360857
CXXC5,1.1755618,4.92E-26,,291670
ARID5A,1.7327574,7.22E-26,,316327
PTPRR,-1.9995065,1.02E-25,PC12-PTP1|Pcptp1|R-PTP-R,94202
ADRA1D,2.8663747,1.21E-25,Adrd1,29413
SEMA3A,2.0394833,1.24E-25,,29751
DUSP14,1.8628569,1.29E-25,Dusp14l2,360580
BHLHE40,1.5580747,1.70E-25,Bhlhb2|Dec1|SHARP-2|Sharp,79431
TBX21,3.676611,2.03E-25,,303496
SP7,3.4122097,4.62E-25,Osx,300260
TMEM150C,-1.1294942,5.69E-25,RGD1306105,360916
PLCXD2,-1.1535157,7.99E-25,RGD1563504,363781
HTR1B,2.5193267,8.85E-25,,25075
CCND1,1.4953775,1.45E-24,,58919
PTGS2,2.4685276,2.83E-24,COX-2|Cox2,29527
TMEM65,1.164343,6.48E-24,RGD1563224,500874
RASSF8,2.6404998,6.48E-24,RGD1308820,312846
MTMR12,1.8788508,1.05E-23,Pip3ap,310155
CNGA4,3.2149022,1.55E-23,Cgn2|rOCNC2,85258
RTN4RL1,1.703219,3.08E-23,Ngrh2,303311
MMP10,3.6014867,3.49E-23,,117061
MMP9,3.1567497,4.16E-23,,81687
FAM102B,1.0435205,5.39E-23,RGD1310037,365903
RNF217,1.0695094,7.63E-23,Ibrdc1,292188
ZYX,1.2675476,1.46E-22,,114636
TRIB1,1.8991559,2.54E-22,Gig2,78969
GPAT3,1.9999765,2.57E-22,Agpat9,305166
MYO1E,1.7415842,3.58E-22,MYR5|Myr3,25484
SERPINB2,3.5841072,5.20E-22,Pai2a,60325
DBNDD1,-1.8708739,1.08E-21,RGD1310008,361437
B3GNT7,-1.2929933,1.67E-21,,316583
SORBS2,1.1322527,1.91E-21,Argbp2,114901
DOK5,1.6272763,3.00E-21,RGD1562846,502694
HSPH1,1.0666467,4.02E-21,Hsp105,288444
ATG16L1,1.066054,5.70E-21,Apg16l|Wdr30,363278
DLGAP2,2.4980152,6.56E-21,DAP-2|SAPAP2,116681
DCLK3,-2.5603716,7.79E-21,Dcamkl3|RGD1309232,316023
RUNX2,2.8620102,2.15E-20,Cbfa1|OSF-2,367218
HMGA1,1.9424802,2.52E-20,Hmgi|Hmgiy,117062
ZC2HC1A,-1.018401,2.60E-20,Fam164a|RGD1311970,310244
CAV1,1.5572658,2.61E-20,Cav,25404
EFR3A,1.0692867,2.68E-20,RGD1305976,362923
RGS20,1.2998077,3.26E-20,,362477
PTH2R,2.567532,4.37E-20,Pthr2,81753
KCNV1,1.3596368,4.89E-20,Kv8.1,60326
GPR83,2.9704585,8.92E-20,Gir,140595
ERRFI1,1.1447444,9.01E-20,RGD1307599|Ralt|Xxx|gene,313729
IER5L,1.5424821,1.11E-19,,499772
NEDD9,1.1884135,1.48E-19,,291044
WDR43,0.78759044,1.99E-19,,362703
BAALC,1.0558892,2.48E-19,,140720
DKK2,3.33558,3.13E-19,Dkk4,295445
MAP2K6,-1.2294734,3.97E-19,Mkk6,114495
AP1S3,1.6560899,4.60E-19,,367304
PLK2,1.2168903,4.68E-19,Snk,83722
FAM212B,1.5589373,5.27E-19,RGD1306526,310764
FAM196A,1.2841877,5.33E-19,,100233213
DNAJB5,1.018804,6.05E-19,,313811
SELE,2.8674822,6.41E-19,,25544
42805,1.4264649,6.69E-19,MARCH-XI|RGD1559945,499558
VIPR1,1.814615,9.38E-19,PACAP-R-2|PACAP-R2|RATVA,24875
PTPRU,0.9018883,9.45E-19,,116680
GCGR,2.2198486,9.56E-19,,24953
BAZ1A,1.8905354,1.21E-18,,314126
KITLG,1.0291016,1.52E-18,Kitl|Mgf|SCF,60427
POU4F3,2.8643954,3.79E-18,,364855
SS18,0.89652956,4.13E-18,,361295
ARHGAP10,1.32641,4.25E-18,,688429
RGD1307461,-1.6390955,6.60E-18,,300990
SYT10,2.6374457,7.16E-18,,60567
ATP2B1,0.7975083,7.42E-18,Pmca1a|Pmca1b|Pmca1c,29598
EGR3,2.477239,1.16E-17,,25148
TMOD1,1.247792,1.25E-17,E-Tmod|Tmod,25566
BDNF,1.6924942,1.46E-17,,24225
CDKN1A,1.5740019,1.68E-17,Cip1|UV96|Waf1,114851
PCSK1,1.3431313,1.73E-17,BDP|PC1|PC3,25204
AJAP1,1.2560861,2.15E-17,neumo48,687031
PPP1R18,-0.9783594,2.15E-17,Kiaa1949|RGD1309543,361790
SHC4,2.0069253,4.60E-17,RGD1309182,679845
KLHDC8A,-1.9683065,5.18E-17,RGD1305132,305096
CARS,0.8850533,6.37E-17,,293638
PDE9A,1.5808959,9.09E-17,,191569
VEGFA,1.445269,9.35E-17,VEGF-A|VEGF164|VPF|Vegf,83785
CSPG4,1.0248827,1.00E-16,Ng2,81651
HACE1,1.0541575,1.18E-16,,361866
ELOVL7,2.0444527,1.19E-16,,361895
DNAJB4,-0.92410535,1.29E-16,,295549
ADRA1B,1.8079491,1.36E-16,,24173
RBMS1,1.556421,2.05E-16,,362138
MYBPH,1.4676771,3.00E-16,,83708
TRIM9,1.334747,4.48E-16,,155812
PIK3CD,-1.2090521,4.90E-16,,366508
RGD1563365,1.0237044,4.90E-16,,299700
VCL,1.0615209,7.73E-16,,305679
PNMA2,-0.8894666,8.17E-16,,305977
WDR1,0.78475046,8.63E-16,,360950
PLEKHH2,1.9632562,8.70E-16,RGD1304935,313866
CCPG1,-0.99297786,9.71E-16,,363098
CREM,1.5828385,1.21E-15,Icer,25620
PRAGMIN,1.5849367,1.32E-15,RGD1311793,306506
SIK1,1.9205624,1.63E-15,Sik|Snf1lk,59329
KCNK2,-1.6440685,1.99E-15,Trek-1|rTREK1d,170899
MAP2K3,1.8152273,2.12E-15,Mek3|Mkk3,303200
UBASH3B,1.6640985,2.29E-15,RGD1310357|Sts-1,315579
SIAH3,2.1123347,3.02E-15,,692004
FAM184B,-1.8618681,3.59E-15,RGD1564950,289671
RBM12,1.0843652,3.59E-15,,652928
PVR,1.6094185,3.95E-15,Taa1|Tage4,25066
ADCK3,-1.4241498,4.09E-15,Cabc1,360887
HSPA4L,1.0953513,4.81E-15,APG-1|OSP94,294993
NGF,2.332491,5.61E-15,Ngfb|beta-NGF,310738
AGTR1A,1.9648544,5.98E-15,AT1|AT1A|AT1R|Agtr1,24180
SLC6A17,1.475906,6.02E-15,Ntt4,613226
EIF2AK3,0.8770304,6.95E-15,PEK,29702
CDC37L1,0.7691417,7.22E-15,Cdc37l,293886
TIMP1,1.1849104,7.35E-15,TIMP-1|Timp,116510
PANX1,1.0717888,8.85E-15,px1,315435
FAM43A,1.5121964,9.13E-15,RGD1304790,288031
ACVR1,0.99055094,1.10E-14,,79558
DDHD1,0.7036751,1.13E-14,,305816
FGF2,2.3530617,1.22E-14,Fgf-2|bFGF,54250
GREM1,1.2579631,1.38E-14,Cktsf1b1|drm,50566
ZMIZ1,1.3394367,1.43E-14,Rai17,361103
FGF9,1.2275751,1.46E-14,,25444
KLF14,2.2850194,1.77E-14,,312203
RGD1305014,0.9552032,2.23E-14,,309029
RTN4RL2,1.2922189,2.29E-14,Ngrh1,311169
ETV5,1.6104954,2.42E-14,,303828
ST7,0.9344929,2.79E-14,,296911
ACTN1,1.5171064,2.86E-14,,81634
KLHDC8B,-0.99473333,3.35E-14,,306589
GABRG2,-1.2529383,4.04E-14,,29709
HIC1,2.4993727,4.96E-14,,303310
ERCC1,1.079485,4.97E-14,,292673
MUSK,2.7192237,5.00E-14,Nsk1,81725
SYPL2,2.1900775,5.78E-14,Mg29,362018
BAI1,1.1931818,6.54E-14,Bai1,362931
YPEL5,-0.77750516,7.20E-14,,298792
JUN,0.8752457,7.57E-14,,24516
RRAGD,-1.0506474,8.18E-14,,297960
PTPRN,1.0244571,8.32E-14,ICA512|Ia-2,116660
LRRC26,2.4362385,9.51E-14,RGD1308398,311803
ACSL4,0.82943016,1.20E-13,Acs4|Facl4,113976
SCRT2,1.8648645,1.30E-13,RGD1564796,366229
RPS6KA5,-0.8596208,1.54E-13,Msk1,314384
NARF,-0.8929865,1.71E-13,RGD1310894,360681
ANO4,1.349041,1.84E-13,Tmem16d,299714
RAI14,0.94001484,1.88E-13,,294804
TRMT6,0.92291427,2.07E-13,RGD1308877,311441
MYH4,2.5091531,2.37E-13,,360543
PPHLN1,0.81124485,2.77E-13,,366975
UOX,2.5953753,3.03E-13,UOX-2|Uri|Uri2,114768
MTSS1,-0.67216885,3.26E-13,,362918
CACNG3,1.1780035,3.64E-13,,140724
FAM46A,2.0539212,3.71E-13,RGD1311381,300870
HRH3,-1.9751954,4.26E-13,,85268
FKBP5,0.8295817,4.26E-13,,361810
SYNJ2,1.9054892,4.92E-13,,84018
DLC1,2.12959,6.61E-13,Arhgap7|RhoGAP,58834
EHBP1L1,-1.0739992,7.41E-13,,309169
TMTC4,-1.059587,8.35E-13,RGD1560183,290501
SSTR2,0.9105852,9.80E-13,Smstr2,54305
UNG,0.9744515,1.04E-12,,304577
GPR37,-1.4318073,1.08E-12,Ednrbl,117549
STAM,0.6097905,1.26E-12,RGD1564499,498798
JUNB,1.1255476,1.26E-12,,24517
NUB1,-0.65661305,1.29E-12,BS4|NYREN18,296731
IGSF9,-1.2876827,1.34E-12,,304982
CALCA,2.0663934,1.53E-12,CAL6|CGRP|Cal1|Calc|RATC,24241
TTPAL,1.0955765,1.56E-12,RGD1305754,296349
SIK3,1.1485419,1.63E-12,,684112
NEFM,1.3457621,1.64E-12,Nef3|Nfm,24588
DMP1,2.437485,2.08E-12,DENTMAT,25312
PNMAL1,-1.2880445,2.17E-12,RGD1310803,361515
LYVE1,2.454409,2.17E-12,Xlkd1,293186
MRM1,0.79004884,2.17E-12,RGD1566232,363661
LYRM9,-1.2623076,3.30E-12,RGD1562012,497962
CDC42EP4,-0.9025045,3.30E-12,,303653
RNF152,-1.9679434,3.43E-12,,293561
SLCO3A1,1.2057765,3.58E-12,Slc21a11,140915
MICAL2,0.9951284,4.08E-12,MICAL-2|RGD1311773,365352
EPHA4,-0.9142841,4.79E-12,RGD1560587,316539
HDAC11,-0.90699375,4.79E-12,,297453
RGD1305587,-1.0728447,6.45E-12,,294499
DPF3,1.2705431,6.45E-12,,299186
SPRED3,1.4192659,6.57E-12,RGD1311713,308478
SYNPO,1.3086188,6.83E-12,,60324
ZFP143,1.0058349,6.95E-12,STAF|Znf143,361627
KCNF1,1.4807354,6.95E-12,Kh1|Kv5.1,298908
HTR1F,2.439059,7.05E-12,Htr1eb,60448
SESN1,-0.86736435,7.19E-12,,294518
EZR,1.0318053,7.50E-12,Vil2,54319
ARVCF,-0.6820622,9.00E-12,,303798
EFNA4,-1.4177372,1.06E-11,,310643
P4HB,0.5871119,1.10E-11,PDI|PDIR,25506
IFFO2,1.2169538,1.11E-11,,641315
VSTM2B,1.2963742,1.25E-11,RGD1306235,361560
KCNC4,1.3986031,1.34E-11,,684516
RPS6KA2,-1.0282438,1.41E-11,,117269
RGD1561849,1.280649,1.50E-11,,500393
VWA1,-1.4944415,1.56E-11,RGD1311476,298683
MCM3,0.88786876,1.83E-11,,316273
RGD1304810,1.324045,1.96E-11,,306504
WSCD1,0.8512739,2.08E-11,RGD1308212,287466
TSPAN5,0.97393215,2.12E-11,Tm4sf9|Tspan-5,362048
MYC,0.7217986,2.57E-11,RNCMYC|c-myc|mMyc,24577
FLT1,2.370946,2.83E-11,FLT-1|VEGFR-1,54251
NPY1R,-0.9346991,2.91E-11,NPY-1,29358
CLMP,-1.2245033,3.02E-11,ACAM|Asam|Ol16,286939
GPR12,-1.6918236,3.45E-11,Gpcr12,80840
AK1,-0.9593049,3.91E-11,Ak,24183
SEMA6C,-1.6502132,3.95E-11,,29744
CXCL12,1.1677482,4.43E-11,Sdf1,24772
HECA,0.6286029,4.48E-11,,308624
SLC22A3,-1.5044653,4.74E-11,,29504
EDNRA,1.3215874,4.97E-11,ET-A|ET-AR|Endor|Eta|RGD1,24326
PCED1B,-1.3029708,5.22E-11,Fam113b|RGD1561028,315283
GPR137C,-1.3275257,5.98E-11,RGD1563070,305812
PIK3C3,-0.86102486,6.10E-11,,65052
FILIP1,-1.8423249,6.32E-11,Filip,246776
IPPK,1.1657133,6.91E-11,C9orf12|RGD1311271|rIpk1,306808
SLC9A2,1.4313039,7.30E-11,Nhe2,24783
HSH2D,2.2285504,7.33E-11,,100360518
ABHD13,0.65878487,7.49E-11,RGD1308317,306630
KLHL29,0.87309074,7.65E-11,Kbtbd9,298867
ARMCX6,-1.0612724,9.60E-11,,363496
CYLD,-0.87643355,9.95E-11,LRRGT00003|Rp1|Rp1h,312937
STAC2,1.1889721,9.95E-11,,363674
DIXDC1,-0.8126806,1.38E-10,Ccd1,363062
GUCY1B3,-0.68394923,1.40E-10,Gucy1b1|SGC,25202
NGEF,0.7739159,1.50E-10,Besh3,246217
SLC4A11,1.8949499,1.59E-10,,311423
LOC680663,1.8478743,1.69E-10,,680663
RUNX1,2.1376946,1.70E-10,Aml1|B|CBF-alpha-2|Cbfa2|,50662
ZFP238,-1.0958638,1.71E-10,Rp58|Zbtb18|Znf238,64619
SLC43A2,-0.6407087,1.72E-10,RGD1305819,287532
BCAR3,1.0566084,1.86E-10,,310838
RND1,-1.0471507,1.98E-10,,362993
PHEX,1.9048415,2.01E-10,PEX,25512
UNC5B,1.3878748,2.11E-10,Unc5h2,60630
GRWD1,0.9444853,2.14E-10,,308592
LHFPL2,0.89294094,2.19E-10,,294643
CDK17,0.75188833,2.35E-10,Pctaire2|Pctk2,314743
MCHR1,1.4962466,2.37E-10,Gpr24|Mch-1r|Slc1,83567
CBLN2,1.2851559,2.71E-10,,291388
UAP1,0.9331793,2.85E-10,RGD1561967,498272
HES6,-0.73470825,3.25E-10,,316626
SDCBP,0.6194749,3.28E-10,TACIP18|mda-9,83841
CYGB,-1.2168483,3.42E-10,Staap|Stap,170520
ME1,0.57811105,3.42E-10,MOD1,24552
TMEM246,-0.8830453,3.44E-10,RGD1307218,362518
ELMOD1,-0.77389467,3.91E-10,RGD1564186,315670
EML4,0.7334703,4.16E-10,,313861
NRF1,0.98583704,5.41E-10,Nfe2l1_retired,312195
RBM24,-1.4161272,5.43E-10,,690139
ZBTB46,1.3315436,5.43E-10,Btbd4,311718
POU4F2,2.4603977,5.44E-10,Brn3b,171355
SMAD3,1.0452014,6.06E-10,Madh3|Smad,25631
CREBL2,-0.84521633,7.53E-10,,362453
TACR3,1.8273549,7.79E-10,Nkr|Nmkr|Tac3r,24808
LIMK2,-0.8737091,8.14E-10,Limk2b|Link2,29524
RAG1,2.31254,8.26E-10,,84600
NDUFAF4,1.0272276,8.27E-10,Hrpap20,362495
KCNN1,-1.3946551,9.01E-10,KCa2.1,54261
KRAS,1.1000634,9.01E-10,Kras2|c-Ki-ras|p21,24525
FMNL1,1.1394138,9.39E-10,,287746
MAL2,-0.8264061,1.04E-09,,362911
PRSS12,-0.833376,1.55E-09,Nt,85266
HBEGF,1.0555133,1.62E-09,Dtr|GFHB|Hb-egf|Hegfl,25433
RASSF7,-1.6510895,1.65E-09,RGD1306244,293623
SLC25A37,1.4660352,1.76E-09,Mscp|RGD1359361,306000
LRRC61,-0.8664268,1.81E-09,RGD1561800,500111
SLITRK4,-0.9375122,2.01E-09,,302473
RAB3D,-1.1076238,2.07E-09,,140665
PSME3,0.65283084,2.24E-09,Ab2-371,287716
GALNT7,1.2785124,2.26E-09,,29750
LRRC71,-0.78167814,2.38E-09,RGD1309453,310689
CCDC92,0.75157523,2.62E-09,,100036765
ZC4H2,-0.76520795,3.37E-09,RGD1561708,367838
DHX57,-0.58144784,3.59E-09,,366532
MCM2,0.8999621,3.80E-09,,312538
SLC41A2,1.037418,3.80E-09,,362861
AOC3,1.9076623,3.96E-09,SSAO,29473
SLC2A3,1.2184542,4.09E-09,GLUT3,25551
NRIP1,-0.7432924,4.11E-09,RIP140,304157
CLDND1,0.586019,4.17E-09,,288182
BLES03,-0.8337398,4.38E-09,,266609
RASGEF1C,-0.9259993,4.41E-09,,360519
TAGAP,1.5805598,4.44E-09,,308097
PRKAR2A,1.4116378,4.84E-09,,29699
SPNS2,1.150435,4.93E-09,,100270678
MCM6,0.58436936,5.17E-09,Mcmd6,29685
TMEM218,-0.89298445,5.23E-09,RGD1311364,300516
ADCY7,1.4964327,5.23E-09,,84420
CFLAR,1.031613,5.25E-09,Flip,117279
ATP1B1,0.7771755,5.34E-09,ATPBS,25650
CCDC86,0.79873097,5.44E-09,,293738
CHN2,-0.97858006,5.54E-09,,84031
DOK4,-0.7422019,5.64E-09,,361364
SAMD4A,1.6091677,5.70E-09,Samd4,305826
ZFPM1,1.1657131,6.00E-09,,691504
MAN2A1,1.3874837,6.05E-09,Mana2|Manno,25478
NETO1,0.9790565,6.11E-09,RGD1566269,307206
SLC4A7,1.6119723,6.16E-09,NBC3|NBCn1,117955
ORAI2,-1.1369072,6.24E-09,RGD1310213,304592
LRRN3,-1.0593017,6.28E-09,Nlrr3,81514
FAM89A,1.0497959,6.56E-09,RGD1309879,361441
LOC688613,-1.1505996,7.25E-09,,688613
LRRTM2,-0.8271959,7.34E-09,,685472
GUCY1A3,-1.0689547,7.49E-09,Gucy1a1|SGC,497757
NCBP1,0.5205126,7.53E-09,,298075
RASGRP2,-0.6573872,7.58E-09,,361714
RXRG,-1.9081825,7.88E-09,,83574
FAR1,1.0130634,7.96E-09,Mlstd2,293173
RGD1563072,-1.1282976,8.27E-09,,313595
TMEM163,1.1404581,8.67E-09,RGD1306212|Sv31,360839
BMPER,1.1796024,9.18E-09,RGD1563373,300455
PER2,0.7842451,9.52E-09,rPER2,63840
KLC4,-0.75756204,1.23E-08,1200014p03rik|Knsl8,316226
ANXA11,0.9251612,1.25E-08,,290527
SF1,0.58964086,1.27E-08,Zfp162,117855
NR1D2,-0.97861964,1.31E-08,HZF-2,259241
KCNN3,1.3866298,1.32E-08,KCa2.3|SK3,54263
ARRDC1,-0.8560828,1.37E-08,,366001
DDX21,0.96944666,1.42E-08,Ddx21a|Ddx21b,317399
TM4SF1,1.8135058,1.55E-08,,295061
STK26,2.1175604,1.66E-08,Mask|Mst4|RGD1563568,317589
CPNE8,-0.8491475,1.71E-08,,362988
CRHR1,1.1218804,1.73E-08,CRFR1,58959
KLF7,-1.2560346,1.84E-08,,363243
GADD45G,1.1591874,1.88E-08,,291005
DLK1,1.3777293,1.91E-08,Pref-1|Zog,114587
TMEM200C,-0.834058,1.91E-08,RGD1561734,501201
SHROOM2,-1.0640309,1.97E-08,Ab2-404|Apxl,317435
PAM,1.0347998,1.97E-08,,25508
CCDC129,1.7321779,1.97E-08,RGD1561131,500139
PRRT4,-1.488174,2.00E-08,RGD1559885,500059
MAP2K4,0.80338305,2.04E-08,MKK4|Sek1,287398
POPDC2,-1.1629769,2.05E-08,,360718
CAPN5,-0.91000926,2.26E-08,Htra3,171495
COL4A1,1.1251773,2.29E-08,,290905
HMGCLL1,-1.0695127,2.33E-08,RGD1565090,367112
CTSF,-0.81760997,2.34E-08,,361704
KLHL24,-1.0576439,2.43E-08,Dre1,303803
NFIB,-0.60702807,2.45E-08,,29227
KLHL5,-0.5935278,2.49E-08,,305351
RGS17,0.872459,2.49E-08,,308118
RGD1564036,-0.82035017,2.69E-08,,497895
RGD1561931,-0.6385058,2.73E-08,KIAA2022,302396
KLF5,0.81559616,2.88E-08,Bteb2|IKLF|bteb2,84410
PDSS2,-0.96159464,2.90E-08,,365592
M6PR,0.597658,2.90E-08,,312689
SLC16A14,1.4101831,2.90E-08,,316578
DENND2C,1.1995537,2.96E-08,RGD1308197,295333
GOLPH3,0.58364147,2.96E-08,Gmx33,78961
MYH1,2.0129728,3.14E-08,MYHC,287408
IGSF3,-0.91093475,3.42E-08,,295325
ALDH1B1,-0.90188223,3.43E-08,,298079
RAMP3,-1.5966079,3.50E-08,,56820
BSDC1,-0.55472773,3.50E-08,RGD1311622,297890
DUSP2,1.0111473,3.79E-08,,311406
EHBP1,-0.5281663,4.14E-08,RGD1310604,305556
LZTS1,-0.97071993,4.18E-08,Psdzip70,266711
ZFP775,-0.81265396,4.21E-08,RGD1304910|Znf775,312309
LRRTM3,0.59607244,4.21E-08,,294380
RET,1.0616585,4.21E-08,,24716
BVES,1.2946421,4.30E-08,Popdc1,365603
SOCS3,1.5331312,4.83E-08,Cish3|Socs-3|Ssi-3,89829
WNT6,1.939307,4.89E-08,,316526
SPHKAP,-1.3342793,5.50E-08,RGD1311951|Skip,316561
NAMPT,0.7191915,5.65E-08,Pbef|Pbef1,297508
NIPSNAP3B,-0.71185213,5.84E-08,Nipsnap3a,313211
ELAVL4,-1.0310686,5.85E-08,HuD,432358
USO1,0.5623836,6.19E-08,TAP|Vdp,56042
CITED1,1.1248223,6.22E-08,Msg1,64466
