"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","BP","GO:0009266","response to temperature stimulus","20/578","142/14187",1.23263272324697e-06,0.00050481912892978,0.000445988930774811,"Dnaja1/Ier5/Dio2/Hspa8/Rbbp7/Rnf34/Hspa5/Tgfb1i1/Hsp90aa1/Pdcd6/Pawr/Tcim/Metrnl/Vgf/Rbm3/Adrb1/Hspa1a/Hspa4/Adora1/Bag3",20
"1","MF","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","32/575","311/14068",1.52165135582156e-06,0.00106972090314256,0.000989874250418658,"Nr4a1/Junb/Ier2/Npas4/Jund/Fos/Fezf2/Klf10/Atf4/Egr2/Jun/Plagl1/Csrnp1/Nr4a2/Srf/Fosb/Nr4a3/Klf5/Fosl2/Csrnp2/Tsc22d1/Rel/Zfp131/Klf9/Cebpb/Myocd/Egr1/Myc/Barx2/Smad1/Csrnp3/Hdac5",32
"1","BP","GO:0051348","negative regulation of transferase activity","26/578","225/14187",1.63861568657543e-06,0.000609484510118368,0.0005384569035008,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Hmgcr/Gprc5a/Smad7/Midn/Dnaja1/Gadd45g/Gadd45b/Bag2/Rgs2/Errfi1/Dusp4/Prkar2a/Dusp5/Actb/Hipk3/Uchl1/Spry4/Myocd/Taf7/Dusp16/Coro1c",26
"1","BP","GO:0033673","negative regulation of kinase activity","24/578","198/14187",1.75877883053025e-06,0.000609484510118368,0.0005384569035008,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Hmgcr/Gprc5a/Midn/Dnaja1/Gadd45g/Gadd45b/Rgs2/Errfi1/Dusp4/Prkar2a/Dusp5/Actb/Hipk3/Uchl1/Spry4/Myocd/Taf7/Dusp16/Coro1c",24
"1","BP","GO:0006695","cholesterol biosynthetic process","10/578","38/14187",1.96266325884949e-06,0.000631556998651211,0.000557957126444356,"Cyp51/Hmgcr/Pmvk/Hmgcs1/Insig1/Fdft1/Sc5d/Fdps/Mvd/Hsd17b7",10
"1","BP","GO:1902653","secondary alcohol biosynthetic process","10/578","39/14187",2.54404996291615e-06,0.000727308465118904,0.000642549986941895,"Cyp51/Hmgcr/Pmvk/Hmgcs1/Insig1/Fdft1/Sc5d/Fdps/Mvd/Hsd17b7",10
"1","BP","GO:0071900","regulation of protein serine/threonine kinase activity","36/578","383/14187",2.6881193272224e-06,0.000727308465118904,0.000642549986941895,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Hmgcr/Stil/Avpi1/Ccnl1/Ccnyl1/Dnaja1/Ddx3x/Gadd45g/Ppp2ca/Gadd45b/Rgs2/Dusp4/Prkar2a/Dusp5/Thbs1/Tcim/Actb/Ccnf/Crkl/Hipk3/Uchl1/Higd1a/Spry4/Myocd/Adora1/Map3k5/Pdgfa/Pim1/Dusp16/Snca/Gtpbp4",36
"1","BP","GO:0045732","positive regulation of protein catabolic process","24/578","203/14187",2.74456024573171e-06,0.000727308465118904,0.000642549986941895,"Plk3/Trib1/Plk2/Rnf217/Ldlr/Smad7/Ier3/Tiparp/Rnf19a/Oaz1/Hsp90aa1/Bag2/Csnk1a1/Rnft1/Nop53/Ndfip1/Hspa1a/Arih2/Taf1/Fmr1/Snx1/Fbxw7/Oaz2/Pacsin3",24
"1","MF","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","6/575","12/14068",3.40066605659609e-06,0.00119533411889352,0.00110611138051389,"Dusp1/Dusp6/Dusp14/Dusp4/Dusp5/Dusp16",6
"1","BP","GO:0042176","regulation of protein catabolic process","34/578","361/14187",4.88210506748287e-06,0.00122188240716724,0.00107948767603232,"Plk3/Trib1/Cyp51/Plk2/Rnf217/Hmgcr/Ldlr/Smad7/Ier3/Odc1/Tiparp/Sdcbp/Rnf19a/Oaz1/Ppp2ca/Hsp90aa1/Bag2/Csnk1a1/Flna/Xpo1/Rnft1/Nop53/Pdcl3/Ndfip1/Hspa1a/Arih2/Taf1/Fmr1/Snx1/Azin1/Fbxw7/Oaz2/Snca/Pacsin3",34
"1","BP","GO:0043271","negative regulation of ion transport","19/578","143/14187",5.46835108044996e-06,0.00127657380511443,0.00112780549264272,"Adcyap1/Rrad/Atf4/Ptgs2/Gem/Rem2/Ppp2ca/Rgs2/Pawr/Acsl4/Thbs1/Kcne4/Rgs4/Adora1/Ywhaq/Prkg2/Fmr1/Snca/Pacsin3",19
"1","BP","GO:0008299","isoprenoid biosynthetic process","8/578","26/14187",5.89322642029001e-06,0.00127657380511443,0.00112780549264272,"Hmgcr/Pmvk/Hmgcs1/Fdft1/Fdps/Idi1/Mvd/Rdh10",8
"1","BP","GO:0031668","cellular response to extracellular stimulus","23/578","198/14187",5.95073249886861e-06,0.00127657380511443,0.00112780549264272,"Bmt2/Fos/Klf10/Tfrc/Sik2/Atf4/Sik1/Jun/Hspa5/Nr4a2/Ldha/Srf/Atf3/Higd1a/Cpeb4/Map1lc3a/Myocd/Slc2a1/Map3k5/Taf1/Impact/Wdr45b/Pim1",23
"1","MF","GO:0033549","MAP kinase phosphatase activity","6/575","13/14068",6.09740018091533e-06,0.00142882410906116,0.00132217309186164,"Dusp1/Dusp6/Dusp14/Dusp4/Dusp5/Dusp16",6
"1","BP","GO:0043407","negative regulation of MAP kinase activity","12/578","63/14187",7.4280515408334e-06,0.00141391166298998,0.00124913838372922,"Dusp1/Dusp6/Spry2/Hmgcr/Dnaja1/Rgs2/Dusp4/Dusp5/Hipk3/Uchl1/Spry4/Dusp16",12
"1","BP","GO:0043620","regulation of DNA-templated transcription in response to stress","11/578","53/14187",7.48891034276302e-06,0.00141391166298998,0.00124913838372922,"Atf4/Jun/Ppp1r15a/Atf3/Tcim/Cebpb/Egr1/Bag3/Dnajb1/Taf1/Impact",11
"1","BP","GO:0045862","positive regulation of proteolysis","30/578","305/14187",7.53249276620633e-06,0.00141391166298998,0.00124913838372922,"Plk3/Trib1/Cycs/Plk2/Rnf217/Ccn1/Smad7/Ddx3x/Hspa8/Prr7/Rnf19a/Ppp2ca/Bcl10/Pdcd6/Bag2/Pawr/Cfl1/Csnk1a1/Rnft1/Nop53/Picalm/Hspa1a/Arih2/Map3k5/Taf1/Fmr1/Myc/Fbxw7/Snca/Pacsin3",30
"1","BP","GO:0007517","muscle organ development","32/578","339/14187",8.85588067894922e-06,0.00159582969834665,0.00140985620408872,"Nr4a1/Btg2/Emd/Hmgcr/Smad7/Fos/Tpm1/Sap30/Egr2/Plagl1/Lmna/Fdps/Rgs2/Klf5/Jarid2/Atf3/Bdnf/Rgs4/Adrb1/Fgfr2/Skil/Tsc22d3/Myocd/Egr1/Homer1/Akirin1/Myc/Lif/Pim1/Cxadr/Unc45a/Hdac5",32
"1","BP","GO:0006694","steroid biosynthetic process","16/578","112/14187",1.18178852623072e-05,0.002047675888719,0.0018090455132301,"Cyp51/Hmgcr/Pmvk/Hmgcs1/Sqle/Msmo1/Insig1/Fdft1/Sc5d/Fdps/Mvd/Egr1/Hsd17b7/Hrh1/Dkkl1/Hsd17b12",16
"1","BP","GO:0009991","response to extracellular stimulus","30/578","313/14187",1.25390389411434e-05,0.00209216186777226,0.00184834722169448,"Ldlr/Bmt2/Slc25a25/Fos/Klf10/Tfrc/Sik2/Atf4/Sik1/Jun/Hspa5/Noct/Nr4a2/Ldha/Srf/Bcl10/Atf3/Slc16a1/Vgf/Adrb1/Higd1a/Cpeb4/Map1lc3a/Myocd/Slc2a1/Map3k5/Taf1/Impact/Wdr45b/Pim1",30
"1","BP","GO:1901800","positive regulation of proteasomal protein catabolic process","15/578","101/14187",1.36986159151992e-05,0.00220400945349902,0.00194716040508903,"Plk3/Trib1/Plk2/Rnf217/Smad7/Rnf19a/Bag2/Csnk1a1/Rnft1/Nop53/Hspa1a/Arih2/Taf1/Fmr1/Fbxw7",15
"1","MF","GO:0044389","ubiquitin-like protein ligase binding","29/575","300/14068",1.57545426266192e-05,0.00276886086662832,0.0025621861429607,"Trib1/Atp6v0c/Smad7/Per1/Dnaja1/Dio2/Hspa8/Egr2/Jun/Prr7/Rnf34/Hspa5/Ubc/Hsp90aa1/Bcl10/Bag2/Prkar2a/Uchl1/Hspa1a/Asb4/Map1lc3a/Cebpb/Cacybp/Rangap1/Myc/Fbxw7/Tollip/Prkacb/Vcl",29
"1","BP","GO:0071496","cellular response to external stimulus","24/578","227/14187",1.875473129325e-05,0.00277732538137728,0.00245366371096151,"Bmt2/Fos/Klf10/Tfrc/Sik2/Atf4/Sik1/Jun/Hspa5/Nr4a2/Ldha/Srf/Atf3/Higd1a/Cpeb4/Map1lc3a/Myocd/Slc2a1/Bag3/Map3k5/Taf1/Impact/Wdr45b/Pim1",24
"1","BP","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","10/578","48/14187",1.88024968286307e-05,0.00277732538137728,0.00245366371096151,"Atf4/Jun/Ppp1r15a/Atf3/Cebpb/Egr1/Bag3/Dnajb1/Taf1/Impact",10
"1","BP","GO:0051085","chaperone cofactor-dependent protein refolding","8/578","30/14187",1.91114510150268e-05,0.00277732538137728,0.00245366371096151,"Hspa8/Hspa5/Dnajb5/Hspa1a/Hsph1/Dnajb1/Dnajb4/Hspe1",8
"1","CC","GO:0015629","actin cytoskeleton","37/585","443/14437",2.54653522829417e-05,0.00895960501155608,0.00792916310964222,"Tpm4/Dstn/Arc/Flnc/Shroom3/Cdc42ep3/Tpm1/Lurap1/Arpc5/Coro1a/Wdr1/Pdlim1/Arpc3/Tlnrd1/Pawr/Cfl1/Cap1/Flna/Pls3/Stk17b/Actb/Hax1/Lancl2/Tpm3/Aldoa/Actr3/Slc2a1/Bag3/Zyx/Ppp1r12a/Neb/Snca/Myl12a/Arpc4/Myo1e/Coro1c/Vcl",37
"1","BP","GO:1903364","positive regulation of cellular protein catabolic process","17/578","132/14187",2.55811032141326e-05,0.00360133968686461,0.00318164971225774,"Plk3/Trib1/Plk2/Rnf217/Ldlr/Smad7/Rnf19a/Hsp90aa1/Bag2/Csnk1a1/Rnft1/Nop53/Hspa1a/Arih2/Taf1/Fmr1/Fbxw7",17
"1","BP","GO:0090066","regulation of anatomical structure size","40/578","495/14187",2.88724962819395e-05,0.00394153320454962,0.00348219803642786,"Adcyap1/Nppc/Dstn/Hmgcr/Cdc42ep3/Tnfrsf12a/Ptgs2/Tpm1/Arpc5/Coro1a/Wdr1/Hsp90aa1/Srf/Ppp1r15a/Arpc3/Pak3/Rgs2/Ifrd1/Ndel1/Cfl1/Nefl/Omg/Bdnf/Dusp5/Hax1/Picalm/Adrb1/Adm/Ap2m1/Arf6/Actr3/Adora1/Prkg2/Nrp1/Neb/Per2/Tmsb4x/Hrh1/Arpc4/Nts",40
"1","CC","GO:0005667","transcription factor complex","30/585","331/14437",3.31837222650225e-05,0.00895960501155608,0.00792916310964222,"Nr4a1/Crem/Junb/Smad7/Npas4/Jund/Fos/Atf4/Arid5a/Jun/Gtf2b/Pdlim1/Nr4a2/Abt1/Med7/Nr4a3/Klf5/Hax1/Rel/Sap18/Ing2/Cebpb/Myocd/Taf1/Taf7/Barx2/Taf10/Smad1/Sub1/Med14",30
"1","BP","GO:0007519","skeletal muscle tissue development","18/578","149/14187",3.57706264561896e-05,0.00473960800544512,0.00418726744987161,"Nr4a1/Btg2/Emd/Hmgcr/Fos/Sap30/Egr2/Plagl1/Klf5/Atf3/Skil/Tsc22d3/Myocd/Egr1/Homer1/Akirin1/Myc/Hdac5",18
"1","BP","GO:1903320","regulation of protein modification by small protein conjugation or removal","23/578","222/14187",3.84725958993139e-05,0.00495197270075455,0.00437488376226484,"Trib1/Siah2/Smad7/Dnaja1/Peli1/Prr7/Hspa5/Rassf1/Hsp90aa1/Bcl10/Pdcd6/Bag2/Ivns1abp/Nop53/Ndfip1/Nsmce3/Egr1/Taf1/Fem1b/Fbxw7/Tollip/Per2/Gtpbp4",23
"1","MF","GO:0031625","ubiquitin protein ligase binding","27/575","285/14068",4.38278031610862e-05,0.00616218912444872,0.00570222786390553,"Trib1/Atp6v0c/Smad7/Per1/Dnaja1/Dio2/Hspa8/Egr2/Jun/Rnf34/Hspa5/Ubc/Hsp90aa1/Bcl10/Bag2/Prkar2a/Uchl1/Hspa1a/Asb4/Map1lc3a/Cacybp/Rangap1/Myc/Fbxw7/Tollip/Prkacb/Vcl",27
"1","BP","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","15/578","114/14187",5.89167705389463e-05,0.00737277920216536,0.0065135762984724,"Plk3/Trib1/Plk2/Rnf217/Smad7/Rnf19a/Bag2/Csnk1a1/Rnft1/Nop53/Hspa1a/Arih2/Taf1/Fmr1/Fbxw7",15
"1","BP","GO:0060538","skeletal muscle organ development","18/578","155/14187",6.05956011063471e-05,0.00737792386443496,0.00651812141630436,"Nr4a1/Btg2/Emd/Hmgcr/Fos/Sap30/Egr2/Plagl1/Klf5/Atf3/Skil/Tsc22d3/Myocd/Egr1/Homer1/Akirin1/Myc/Hdac5",18
"1","BP","GO:0051084","'de novo' posttranslational protein folding","8/578","35/14187",6.41911175388935e-05,0.00749780483092748,0.00662403179291707,"Hspa8/Hspa5/Dnajb5/Hspa1a/Hsph1/Dnajb1/Dnajb4/Hspe1",8
"1","BP","GO:0048511","rhythmic process","24/578","245/14187",6.49088542522024e-05,0.00749780483092748,0.00662403179291707,"Adamts1/Siah2/Crem/Per1/Klf10/Atf4/Cckbr/Sik1/Egr2/Ciart/Noct/Nfil3/Impdh2/Bdnf/Klf9/Hs3st2/Adora1/Egr1/Prkg2/Inhba/Fbxw7/Per2/Hrh1/Ntrk2",24
"1","BP","GO:1901617","organic hydroxy compound biosynthetic process","20/578","185/14187",6.71089777474387e-05,0.00755814861880529,0.00667734328587016,"Cyp51/Mas1/Hmgcr/Pmvk/Hmgcs1/Sqle/Msmo1/Insig1/Fdft1/Sc5d/Nr4a2/Ldha/Fdps/Itpkc/Ippk/Mvd/Hsd17b7/Per2/Snca/Dkkl1",20
"1","BP","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","5/578","12/14187",6.88438954431198e-05,0.00756443290173792,0.00668289521618578,"Jun/Ppp1r15a/Bag3/Dnajb1/Impact",5
"1","BP","GO:0071901","negative regulation of protein serine/threonine kinase activity","14/578","103/14187",7.20757676628836e-05,0.00773098412669739,0.00683003703091135,"Dusp1/Dusp6/Spry2/Hmgcr/Dnaja1/Rgs2/Dusp4/Prkar2a/Dusp5/Hipk3/Uchl1/Spry4/Myocd/Dusp16",14
"1","MF","GO:0005200","structural constituent of cytoskeleton","10/575","56/14068",7.83912778118966e-05,0.00918484471696055,0.00849926485750037,"Ina/Tpm1/Arpc5/Arpc3/Nefl/Pls3/Actb/Tubb4b/Actr3/Arpc4",10
"1","BP","GO:0006458","'de novo' protein folding","8/578","36/14187",7.96172911422765e-05,0.00834129992083617,0.00736922834293629,"Hspa8/Hspa5/Dnajb5/Hspa1a/Hsph1/Dnajb1/Dnajb4/Hspe1",8
"1","BP","GO:0048008","platelet-derived growth factor receptor signaling pathway","10/578","57/14187",8.92649671192941e-05,0.00913951538346409,0.00807442202579069,"Tiparp/Csrnp1/Nr4a3/Zfand5/Myocd/Pdgfa/Nrp1/Snca/Myo1e/Plat",10
"1","CC","GO:0045334","clathrin-coated endocytic vesicle","7/585","28/14437",9.73879653726142e-05,0.0093863971473994,0.00830686999009616,"Cltc/Picalm/Ap2m1/Ap2a2/Ap2s1/Myo1e/Ap2b1",7
"1","BP","GO:0042149","cellular response to glucose starvation","8/578","37/14187",9.79956757415659e-05,0.00969479682467364,0.00856499253322999,"Sik2/Atf4/Sik1/Hspa5/Higd1a/Cpeb4/Slc2a1/Impact",8
"1","BP","GO:0016125","sterol metabolic process","14/578","106/14187",9.89923760122059e-05,0.00969479682467364,0.00856499253322999,"Cyp51/Hmgcr/Ldlr/Pmvk/Sult2b1/Hmgcs1/Sqle/Msmo1/Insig1/Fdft1/Sc5d/Fdps/Mvd/Hsd17b7",14
"1","CC","GO:0030132","clathrin coat of coated pit","6/585","20/14437",0.000102789624246577,0.0093863971473994,0.00830686999009616,"Cltc/Picalm/Ap2m1/Ap2a2/Ap2s1/Ap2b1",6
"1","CC","GO:0043209","myelin sheath","21/585","207/14437",0.000103898865069984,0.0093863971473994,0.00830686999009616,"Cycs/Ina/Hspa8/Wdr1/Hspa5/Slc25a3/Ubc/Hsp90aa1/Pgam1/Nefl/Omg/Cltc/Hba-a1/Actb/Uchl1/Ckmt1/Atp6v1a/Aldoa/Tubb4b/Arf6/Atp6v1b2",21
"1","CC","GO:0005938","cell cortex","26/585","287/14437",0.000110623918383771,0.0093863971473994,0.00830686999009616,"Tpm4/Emd/Dstn/Shroom3/Rnd3/Pard6a/Coro1a/Wdr1/Mapre1/Cfl1/Cap1/Flna/Col10a1/Actb/Ndfip1/Lancl2/Fgfr2/Tpm3/Osbpl8/Arf6/Actr3/Slc2a1/Exoc5/Snca/Myl12a/Myo1e",26
"1","BP","GO:0008202","steroid metabolic process","21/578","208/14187",0.000119745394926598,0.0113567807860865,0.010033293569062,"Cyp51/Hmgcr/Ldlr/Pmvk/Sult2b1/Hmgcs1/Sqle/Msmo1/Insig1/Fdft1/Tiparp/Sc5d/Fdps/Mvd/Adm/Egr1/Hsd17b7/Hrh1/Atp8b1/Dkkl1/Hsd17b12",21
"1","BP","GO:0031396","regulation of protein ubiquitination","20/578","193/14187",0.000121004545556527,0.0113567807860865,0.010033293569062,"Trib1/Siah2/Smad7/Dnaja1/Peli1/Prr7/Hspa5/Rassf1/Hsp90aa1/Bcl10/Pdcd6/Bag2/Ivns1abp/Ndfip1/Nsmce3/Taf1/Fem1b/Fbxw7/Per2/Gtpbp4",20
"1","CC","GO:0030863","cortical cytoskeleton","15/585","122/14437",0.0001216755185774,0.0093863971473994,0.00830686999009616,"Tpm4/Dstn/Shroom3/Coro1a/Wdr1/Mapre1/Cfl1/Cap1/Flna/Actb/Lancl2/Tpm3/Actr3/Slc2a1/Myo1e",15
"1","MF","GO:0051015","actin filament binding","19/575","178/14068",0.000125176652177703,0.0125713123544179,0.0116329580520031,"Tpm4/Dstn/Shroom3/Tpm1/Arpc5/Coro1a/Wdr1/Arpc3/Eps8l1/Cfl1/Flna/Pls3/Tpm3/Actr3/Neb/Arpc4/Myo1e/Coro1c/Vcl",19
"1","BP","GO:0097242","amyloid-beta clearance","7/578","29/14187",0.000128137765841957,0.0117808292881228,0.0104079246541018,"Cyp51/Hmgcr/Ldlr/Srf/Cltc/Picalm/Myocd",7
"1","MF","GO:0048156","tau protein binding","6/575","21/14068",0.000145691081947153,0.0128026038261061,0.011846985347808,"Sgk1/Ppp2ca/Hsp90aa1/Bag2/Picalm/Snca",6
"1","BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","18/578","166/14187",0.000147515778809244,0.0132911716707129,0.0117422559932159,"Cdc42ep3/Hsp90aa1/Srf/Eps8l1/Klf5/Ndel1/Cfl1/Pqbp1/Rab3ip/Dynll1/Arf6/Actr3/Fmr1/Akirin1/Nrp1/Epha2/Atp8b1/Coro1c",18
"1","CC","GO:0030122","AP-2 adaptor complex","5/585","14/14437",0.000158520528233534,0.0107001356557636,0.00946951576552956,"Picalm/Ap2m1/Ap2a2/Ap2s1/Ap2b1",5
"1","BP","GO:0035970","peptidyl-threonine dephosphorylation","5/578","14/14187",0.00016258236924639,0.0143614426167644,0.0126878005804046,"Dusp1/Ppp2ca/Ppm1d/Dusp4/Dusp5",5
"1","BP","GO:0060491","regulation of cell projection assembly","18/578","168/14187",0.00017172931394122,0.0148777030635615,0.0131438974901165,"Cdc42ep3/Hsp90aa1/Srf/Eps8l1/Klf5/Ndel1/Cfl1/Pqbp1/Rab3ip/Dynll1/Arf6/Actr3/Fmr1/Akirin1/Nrp1/Epha2/Atp8b1/Coro1c",18
"1","BP","GO:0008203","cholesterol metabolic process","13/578","99/14187",0.000184671012767694,0.015410072719322,0.0136142262869926,"Cyp51/Hmgcr/Ldlr/Pmvk/Sult2b1/Hmgcs1/Sqle/Insig1/Fdft1/Sc5d/Fdps/Mvd/Hsd17b7",13
"1","BP","GO:0007015","actin filament organization","30/578","362/14187",0.000184715633039598,0.015410072719322,0.0136142262869926,"Tpm4/Dstn/Shroom3/Cdc42ep3/Rnd3/Stmn1/Tpm1/Arpc5/Coro1a/Wdr1/Nedd9/Srf/Arpc3/Pak3/Pawr/Cfl1/Cap1/Flna/Pls3/Hax1/Rgs4/Tpm3/Arf6/Actr3/Zyx/Nrp1/Neb/Tmsb4x/Arpc4/Coro1c",30
"1","BP","GO:0061077","chaperone-mediated protein folding","9/578","51/14187",0.00019111136206152,0.0156537579288572,0.0138295131091791,"Hspa8/Hspa5/Dnajb5/Hspa1a/Hsph1/Dnajb1/Dnajb4/Hspe1/Unc45a",9
"1","BP","GO:0031669","cellular response to nutrient levels","18/578","171/14187",0.000214569342058462,0.0172613372495245,0.0152497496677264,"Bmt2/Klf10/Sik2/Atf4/Sik1/Jun/Hspa5/Srf/Atf3/Higd1a/Cpeb4/Map1lc3a/Slc2a1/Map3k5/Taf1/Impact/Wdr45b/Pim1",18
"1","CC","GO:0032432","actin filament bundle","12/585","88/14437",0.000215512884558878,0.0113003590323444,0.0100007076036732,"Tpm4/Pdlim1/Tlnrd1/Cfl1/Flna/Pls3/Actb/Tpm3/Bag3/Zyx/Myl12a/Vcl",12
"1","CC","GO:0030128","clathrin coat of endocytic vesicle","5/585","15/14437",0.000229886212268575,0.0113003590323444,0.0100007076036732,"Picalm/Ap2m1/Ap2a2/Ap2s1/Ap2b1",5
"1","CC","GO:0030662","coated vesicle membrane","11/585","76/14437",0.000230192498807016,0.0113003590323444,0.0100007076036732,"Dipk2a/Pdcd6/Cltc/Picalm/Gosr2/Ap2m1/Sar1a/Ap2a2/Kdelr3/Ap2s1/Ap2b1",11
