"","OR_cno","Pval_cno","NumSig_cno","adjPval_cno","OR_saline","Pval_saline","NumSig_saline","adjPval_saline","setSize","ID"
"Lung Injury",3.14723167732543,3.56512984943858e-31,190,1.52159741974039e-29,0.878516593186662,0.566737890685217,29,0.858410687905997,2374,"MESH:D055370"
"Nephritis, Interstitial",3.19412282534445,4.96233380520445e-31,184,2.0364654500589e-29,0.64688305394506,0.0624838512840576,21,0.382530185282177,2191,"MESH:D009395"
"Fever",2.91583555871071,5.78369349229184e-31,228,2.2856299838057e-29,0.68982265234619,0.0506321054471301,32,0.357886762433988,3123,"MESH:D005334"
"Coma",3.05128116147727,7.31803726286748e-31,201,2.78869491409986e-29,0.945384536883831,0.854014825785458,34,1,2512,"MESH:D003128"
"Abnormalities, Drug-Induced",2.81177153026175,8.08399702814379e-31,418,2.97435338932049e-29,0.66262714420257,0.0025587756974991,89,0.148653233347294,7934,"MESH:D000014"
"Myocardial Infarction",2.9320278105095,9.29753838709067e-31,222,3.30682448634192e-29,0.861735172690913,0.438240485916457,37,0.791259039694317,3043,"MESH:D009203"
"Drug-Related Side Effects and Adverse Reactions",2.72803760743873,1.39763939721129e-30,390,4.81058463491757e-29,0.696513243278871,0.0103139552107697,81,0.244065394741195,7153,"MESH:D064420"
"Nervous System Diseases",2.66531442281577,3.06833013738843e-30,325,1.02309633018545e-28,0.693288022574775,0.0158232150819354,59,0.244065394741195,5393,"MESH:D009422"
"Pancreatic Neoplasms",2.91203565671788,3.28403047764999e-30,218,1.06183652110683e-28,0.557079807273477,0.00403069846682458,25,0.175441454319154,2959,"MESH:D010190"
"Hypotension",3.60032495136593,3.44460037728766e-30,142,1.08099664781351e-28,0.980591206009705,1,20,1,1515,"MESH:D007022"
"Hyperalgesia",3.293769412502,4.41853892362552e-30,166,1.34702315185955e-28,0.939108230274161,0.835155581756085,25,1,1964,"MESH:D006930"
"Heart Failure",2.89361430667188,5.64901427628826e-30,219,1.67430506466655e-28,0.870132561573119,0.488675098468136,37,0.814493379901805,2994,"MESH:D006333"
"Bradycardia",3.74380462324453,6.91374727302436e-30,132,1.9937752271127e-28,0.874315796060411,0.710802790893056,16,0.955827492794403,1328,"MESH:D001919"
"Colonic Neoplasms",3.35550127020006,7.57079576773841e-30,159,2.12579975899392e-28,0.745379364358426,0.281237220330388,19,0.651493504798966,1829,"MESH:D003110"
"Exanthema",3.10815444036156,8.17301294362598e-30,183,2.23605251560229e-28,0.602284186268698,0.0318454836506506,20,0.286346777230667,2260,"MESH:D005076"
"Adenocarcinoma",2.65295181933413,1.10775818259274e-29,303,2.95494495206613e-28,0.645748633479968,0.00561122580165732,50,0.185619349518824,4968,"MESH:D000230"
"Thrombosis",3.15409300383176,1.8508420097656e-29,176,4.81670347419487e-28,0.792514564972711,0.319174239066908,24,0.703245723845443,2131,"MESH:D013927"
"Carcinoma, Squamous Cell",2.98212196992686,1.95071485758136e-29,199,4.95574465009359e-28,0.597833619341317,0.0168228223735012,23,0.244078493033079,2609,"MESH:D002294"
"Asthma",3.96887018846974,2.14440069558031e-29,119,5.32110591205626e-28,0.702442190831346,0.286999597395877,11,0.65747553198446,1155,"MESH:D001249"
"Hepatitis",2.85655731898288,3.32187455371245e-29,219,8.05554579275269e-28,0.618457091851711,0.0155135609973963,28,0.244065394741195,3030,"MESH:D006505"
"Diarrhea",3.3900947860795,3.82514733057507e-29,150,9.06984933716354e-28,0.629078520487609,0.0940208268735763,15,0.444315564711129,1686,"MESH:D003967"
"Oligospermia",2.63128671501588,4.88332688207137e-29,295,1.13271951808047e-27,0.542882199227366,0.000221327696732198,42,0.0457595012993819,4761,"MESH:D009845"
"Nausea",2.8997611965659,7.66842185882187e-29,205,1.74089491986446e-27,0.813701968617209,0.323962838507369,32,0.703657767290609,2746,"MESH:D009325"
"Vascular Diseases",2.78263449340897,8.79842508562299e-29,229,1.95581657632495e-27,0.704236210100062,0.0649847072393602,34,0.385037526230686,3262,"MESH:D014652"
"Hypospadias",3.40603431087281,1.43982028532288e-28,145,3.1352821315092e-27,0.757740078796546,0.307843438579077,17,0.69192014239952,1536,"MESH:D007021"
"Immune System Diseases",2.82657607015375,2.36646182010527e-28,213,5.05002952410465e-27,0.72069554180856,0.0973179332655022,31,0.449619725198717,2935,"MESH:D007154"
"Cardiomyopathies",2.8715852499178,3.1996031657761e-28,204,6.58822903677815e-27,0.695152016675107,0.0733338105287401,28,0.406289120112908,2756,"MESH:D009202"
"Neoplasm Invasiveness",3.31269817827497,3.21075829346264e-28,151,6.58822903677815e-27,0.610469463349756,0.0619104508297727,15,0.382530185282177,1719,"MESH:D009361"
"Neutropenia",3.10967318072971,3.28835985083025e-28,170,6.62015086950166e-27,0.745161767472728,0.224719778789308,22,0.626977744816018,2025,"MESH:D009503"
"Uterine Neoplasms",3.2337115272488,3.47016448095483e-28,157,6.85678796514594e-27,0.60739835980112,0.0541976727607351,16,0.367389142402688,1832,"MESH:D014594"
"Neurotoxicity Syndromes",2.5778123082805,3.62987559057031e-28,362,7.04195864570641e-27,0.641022637022645,0.00208623085558885,69,0.148653233347294,6544,"MESH:D020258"
"Liver Failure, Acute",3.05367826308963,3.74075142967245e-28,175,7.12746745617947e-27,0.632169600513658,0.0480054149457021,20,0.345919460794934,2180,"MESH:D017114"
"Prostatic Neoplasms",2.70542846809324,4.43509783368507e-28,240,8.30219190972275e-27,0.633649805117102,0.0144907537407988,34,0.244065394741195,3604,"MESH:D011471"
"Chromosome Aberrations",2.88033173547981,4.79067403541005e-28,199,8.81318826859056e-27,0.974355947096678,1,36,1,2679,"MESH:D002869"
"Hearing Loss",4.16696731820857,6.12487254311732e-28,105,1.10766762771291e-26,1.02466659164328,0.884113926137813,13,1,926,"MESH:D034381"
"Kidney Tubular Necrosis, Acute",2.99983189033846,8.68724385407002e-28,179,1.54488153204878e-26,0.601916945569564,0.0318721706636804,20,0.286346777230667,2230,"MESH:D007683"
"Disease Models, Animal",2.55036509645645,1.21358303716073e-27,348,2.12277557483688e-26,0.764203884718285,0.0629316497249971,73,0.382530185282177,6177,"MESH:D004195"
"Skin Neoplasms",2.72680660662196,1.29784032083799e-27,227,2.23354132634538e-26,0.676619703982194,0.0365946783871419,33,0.305694939658246,3247,"MESH:D012878"
"Neural Tube Defects",2.57357237023097,1.80174437203545e-27,282,3.05152578565369e-26,0.783627732152146,0.13556151361224,53,0.520848206140206,4500,"MESH:D009436"
"Liver Cirrhosis, Experimental",2.74760362937691,1.99152699834548e-27,218,3.32024891755411e-26,0.89027342005222,0.550250041897014,39,0.847156820529608,3139,"MESH:D008106"
"Vomiting",2.78456417934454,2.24015026331302e-27,210,3.67729281685384e-26,0.754433626845134,0.161229487668356,32,0.540961688292415,2912,"MESH:D014839"
"Cholestasis",2.62751013716472,3.71281301299964e-27,249,6.00238103768276e-26,0.747546558499887,0.0960128652130406,42,0.447971063235386,3829,"MESH:D002779"
"Cerebral Hemorrhage",3.28935853460961,5.68189447018782e-27,143,9.0486289547618e-26,0.796191757452534,0.428726825265351,18,0.791259039694317,1610,"MESH:D002543"
"Urinary Bladder Neoplasms",2.54122845728181,7.12360222763971e-27,288,1.1177769966017e-25,0.551323367796873,0.000290801461181162,42,0.0480985616793642,4711,"MESH:D001749"
"Autoimmune Diseases",4.34901596643699,7.66407080573592e-27,95,1.18515413764061e-25,0.811560653928077,0.640874437139728,9,0.910468382857177,827,"MESH:D001327"
"Infertility, Male",2.51220950847082,9.04488776648663e-27,361,1.37869932097732e-25,0.684572903686761,0.0078410519453036,73,0.223605170991934,6615,"MESH:D007248"
"Premature Birth",3.32361865639722,9.33920717024651e-27,139,1.40351183812014e-25,0.683872011143233,0.168208934931573,15,0.54339370776723,1586,"MESH:D047928"
"Ataxia",2.86808882274772,1.23369988660812e-26,186,1.82827469307064e-25,0.669472793660409,0.0736921015924259,24,0.406289120112908,2380,"MESH:D001259"
"Hemorrhage",2.49863101542413,1.31381280314851e-26,344,1.92032638487598e-25,0.709699947667811,0.0189133437804867,69,0.265107378075636,6084,"MESH:D006470"
"Renal Insufficiency",2.65626889616988,1.42860324134487e-26,230,2.05989143042564e-25,0.765133907423407,0.138166023970424,38,0.520848206140206,3389,"MESH:D051437"
"Sleep Disorders",4.73421024146733,1.56387172902785e-26,85,2.22486817983029e-25,0.880584666005765,0.864457750912442,8,1,668,"MESH:D012893"
"Adenoma",3.28712795574721,1.65476938225566e-26,140,2.32320911956157e-25,0.768618996339646,0.360442972029494,17,0.719436795228979,1603,"MESH:D000236"
"Insulin Resistance",2.76471871228431,1.71185902069802e-26,203,2.37214750011011e-25,0.971040308811079,0.929389438295334,38,1,2843,"MESH:D007333"
"Hyperkinesis",2.98732502739945,2.33550683679757e-26,168,3.1948535831577e-25,0.961059329078055,0.920261135048206,28,1,2045,"MESH:D006948"
"Neoplasms",2.56326584143845,2.50325338604691e-26,404,3.38097640874943e-25,0.73475734973517,0.0269380980836873,93,0.286346777230667,8005,"MESH:D009369"
"Kidney Neoplasms",2.83052611944506,2.72733725531801e-26,189,3.63758606428039e-25,0.615513318882532,0.025785419777916,23,0.286346777230667,2530,"MESH:D007680"
"Breast Neoplasms",2.49171519427744,2.95508426609684e-26,363,3.89268507645103e-25,0.711114464532523,0.0172179884467715,76,0.24550476630138,6825,"MESH:D001943"
"Liver Neoplasms, Experimental",2.5036789888553,4.55744165726884e-26,378,5.93023201012909e-25,0.52914970678395,7.70925319704143e-06,67,0.00637555239395326,7199,"MESH:D008114"
"Liver Cirrhosis",2.57461399978973,5.93152603582675e-26,246,7.62522684364716e-25,0.599776122271028,0.00424718012841607,35,0.175620898310004,3808,"MESH:D008103"
"Death",3.12949865745085,6.29669140749361e-26,150,7.99829729975676e-25,0.670071049604098,0.129210146161383,17,0.516216381040886,1758,"MESH:D003643"
"Neoplasms, Experimental",2.46659132110088,1.14685268114241e-25,361,1.43963742444582e-24,0.836180782246424,0.220984012744738,84,0.621611491632306,6758,"MESH:D009374"
"Dyspnea",3.66931557253478,1.64931872348636e-25,112,2.04630590460459e-24,0.638581841334925,0.181666088899884,10,0.571246598936137,1119,"MESH:D004417"
"Mammary Neoplasms, Animal",2.69579338758527,2.14549782157128e-25,204,2.63131744323742e-24,0.82289324794016,0.333772383140227,34,0.712696056598455,2820,"MESH:D015674"
"Ovarian Diseases",2.56625840254172,2.51110133414772e-25,237,3.04471036765411e-24,0.796395592391221,0.197608166749995,42,0.596496308502395,3581,"MESH:D010049"
"Glucose Intolerance",2.4926719656733,3.05537177587405e-25,265,3.66301312905349e-24,0.834680535309046,0.286656344426817,52,0.65747553198446,4313,"MESH:D018149"
"Atherosclerosis",2.44212769733488,3.21978078612189e-25,310,3.81722899865784e-24,0.692051034015127,0.0154961352505695,58,0.244065394741195,5445,"MESH:D050197"
"Edema",2.56601256255891,3.77556905299627e-25,426,4.42695843906266e-24,0.597126500192618,0.000161799975392574,92,0.0446028598832196,8715,"MESH:D004487"
"Anoxia",3.70380514140625,4.94072365895396e-25,108,5.73016537402595e-24,0.965382206074339,1,14,1,1021,"MESH:D000860"
"Memory Disorders",2.4267776324752,5.22283048775071e-25,343,5.99221519401076e-24,0.818982197155572,0.169038352992749,77,0.543948318774331,6263,"MESH:D008569"
"Jaundice",3.24048997098248,5.63135949249158e-25,133,6.39219210477502e-24,0.864069603607599,0.640941800845091,18,0.910468382857177,1496,"MESH:D007565"
"Weight Gain",2.44281702112523,5.88642785627183e-25,370,6.61138791857057e-24,0.688812034973351,0.00828692535747858,78,0.228442909021159,7051,"MESH:D015430"
"Atrophy",2.42313395626289,6.62727417413725e-25,356,7.36593910812963e-24,0.743791713167141,0.0408062351083516,77,0.327638411986473,6621,"MESH:D001284"
"Precancerous Conditions",2.53079757209842,6.72561351258342e-25,417,7.39817486384176e-24,0.614631480389375,0.000368547480744535,90,0.0507981277626217,8340,"MESH:D011230"
"Cardiomegaly",2.80451173874983,7.52693088608086e-25,177,8.19513801576355e-24,0.70494867468858,0.125341460482271,24,0.508124450092344,2341,"MESH:D006332"
"Anorexia",2.6017313608498,7.76266970012865e-25,217,8.36643289902754e-24,0.747291703721824,0.12841426452341,35,0.515527168742039,3217,"MESH:D000855"
"Neoplasm Metastasis",2.42213817800351,7.99261333293963e-25,312,8.52811842624659e-24,0.693062299929507,0.0158186545412573,59,0.244065394741195,5433,"MESH:D009362"
"Lung Diseases",2.46226527183469,8.59671017349905e-25,272,9.05905201864357e-24,0.887991994906563,0.499367851033861,57,0.818537359811166,4566,"MESH:D008171"
"Hepatic Encephalopathy",2.99836714978887,8.66001223900322e-25,153,9.05905201864357e-24,0.667645464202235,0.113105821701197,18,0.487511439239412,1844,"MESH:D006501"
"Myocardial Ischemia",3.4766687524031,9.88982104190307e-25,117,1.01845453834709e-23,0.954044938819998,1,16,1,1214,"MESH:D017202"
"Stroke",3.53551633059178,9.92682961462959e-25,114,1.01845453834709e-23,0.865562365595796,0.695442594569602,14,0.942837747064034,1187,"MESH:D020521"
"Dyslipidemias",2.86062131004563,1.02643693939176e-24,169,1.04305544222001e-23,0.625440295377802,0.0481024643185217,20,0.345919460794934,2217,"MESH:D050171"
"Poisoning",2.55193972240475,1.28920672572922e-24,429,1.29772035505008e-23,0.773426417065797,0.0600369612234575,108,0.382530185282177,8598,"MESH:D011041"
"Confusion",3.56888918233186,1.77028552277373e-24,111,1.76532210542016e-23,1.04355929384952,0.790961033827632,16,0.993012171958454,1120,"MESH:D003221"
"Cognition Disorders",2.49891171490716,1.79475985008582e-24,415,1.77315625929775e-23,0.756091757335871,0.0380847651208873,101,0.311842581732414,8288,"MESH:D003072"
"Fibrosis",2.49742220841961,1.83866773636924e-24,415,1.79987016028071e-23,0.664917388387162,0.00256123899815061,94,0.148653233347294,8306,"MESH:D005355"
"Tachycardia, Ventricular",4.22144095269622,2.28021671651113e-24,88,2.2118102150158e-23,0.665249798505708,0.418314836226604,7,0.779158489998651,769,"MESH:D017180"
"Drug Hypersensitivity",3.00296696555593,2.3748693587624e-24,150,2.28286991513466e-23,0.814763636615589,0.454953748175576,21,0.791259039694317,1844,"MESH:D004342"
"Stomach Neoplasms",3.5700902205007,2.62705935386938e-24,110,2.50274315230235e-23,0.773436656182551,0.502089248584037,12,0.818537359811166,1135,"MESH:D013274"
"Nerve Degeneration",2.39199270944983,2.94816286287859e-24,321,2.7837962607889e-23,0.688416420882914,0.0116607110295936,62,0.244065394741195,5730,"MESH:D009410"
"Eye Diseases",3.45939575595528,3.11314788020832e-24,115,2.91379718261603e-23,0.839458157776614,0.606606133836035,14,0.885765640808154,1192,"MESH:D005128"
"Abnormalities, Multiple",2.76417099346925,3.63040775964568e-24,176,3.36838702568864e-23,0.540202841096833,0.00740773627347667,19,0.218792782077329,2251,"MESH:D000015"
"Cystitis",3.26332130218414,3.66816179419787e-24,126,3.37407640897339e-23,0.764085936238897,0.398287223465696,15,0.753738063629589,1406,"MESH:D003556"
"Multiple Myeloma",2.92377171626341,3.70338090587556e-24,155,3.37735677484549e-23,0.760096903548859,0.254641829634882,21,0.637659384913538,1937,"MESH:D009101"
"Genital Diseases, Male",4.28063520910292,5.3447201310234e-24,85,4.83289523712031e-23,0.39338091742487,0.0670440190776526,4,0.385037526230686,699,"MESH:D005832"
"Hypertriglyceridemia",3.10989233217362,6.19985523162889e-24,136,5.55902985894792e-23,0.857843843890535,0.64891031083563,19,0.918556408205986,1661,"MESH:D015228"
"Prostatic Diseases",2.44388730396806,7.38397828574896e-24,254,6.56558735907845e-23,0.776267331923766,0.142216452743898,47,0.52712565715411,3996,"MESH:D011469"
"Substance Withdrawal Syndrome",3.09863935989399,7.84811215925076e-24,136,6.92060799497567e-23,1.00699845595855,0.910023824392208,22,1,1575,"MESH:D013375"
"Anemia, Hemolytic",2.60666980592729,1.0113668243248e-23,200,8.84531476684066e-23,0.736962534384774,0.1346746042935,31,0.520848206140206,2826,"MESH:D000743"
"Fetal Death",2.39678317065392,1.10863377377602e-23,381,9.61717265543912e-23,0.753881361074315,0.0436373145082779,88,0.343695800936627,7440,"MESH:D005313"
"Urinary Bladder Diseases",3.6566941655184,1.65006506496744e-23,102,1.41985437445182e-22,0.491178981936695,0.0660666189725573,7,0.385037526230686,1000,"MESH:D001745"
"Congenital Abnormalities",2.39769011804807,2.08976387927878e-23,269,1.78382244735237e-22,0.742993588565452,0.0716654014027828,50,0.403178822857832,4416,"MESH:D000013"
"Ovarian Neoplasms",2.38086420350025,2.93130028436689e-23,273,2.48229952652339e-22,0.75543685516616,0.0867077540751177,52,0.431971762771821,4671,"MESH:D010051"
"Adenoma, Liver Cell",2.40912089600695,2.99490383732649e-23,257,2.51619086175383e-22,0.650633771326607,0.0114042795952686,42,0.244065394741195,4198,"MESH:D018248"
"Cell Transformation, Neoplastic",2.34305797586233,3.26851431131467e-23,310,2.72461310169746e-22,0.696705198808422,0.0162071931956951,60,0.244065394741195,5632,"MESH:D002471"
"Gastrointestinal Diseases",3.12711392044399,3.35345183738887e-23,129,2.77374659728211e-22,0.713046185444188,0.241606359136298,15,0.635895206351055,1511,"MESH:D005767"
"Ischemia",3.63402291457761,3.82800436884857e-23,101,3.14143644430922e-22,0.643038325128532,0.257132686683743,9,0.637659384913538,999,"MESH:D007511"
"Birth Weight",3.73935808612493,3.85687136086699e-23,97,3.14143644430922e-22,1.37297380175951,0.241179801550609,17,0.635895206351055,902,"MESH:D001724"
"Esophageal Neoplasms",3.62364864495615,4.59757047831437e-23,101,3.71636946997078e-22,0.641393130204688,0.257531117969917,9,0.637659384913538,982,"MESH:D004938"
"Vasculitis",4.27735785264738,5.27827245568253e-23,81,4.23452384226561e-22,0.965793738424938,1,9,1,685,"MESH:D014657"
"Cleft Palate",3.54161035779916,5.57876488840268e-23,104,4.44219562382512e-22,0.749802698516189,0.411168594855519,11,0.771057659740395,1042,"MESH:D002972"
"Hematuria",3.02722384681218,7.07657677072878e-23,135,5.59311660323526e-22,0.747752247121829,0.308502096007902,17,0.69192014239952,1625,"MESH:D006417"
"Fetal Growth Retardation",2.3242703638981,7.58749435851101e-23,341,5.95283564744945e-22,0.796973931115236,0.114812869147916,77,0.491970169872158,6298,"MESH:D005317"
"Mammary Neoplasms, Experimental",3.14280274724392,9.10542111267039e-23,125,7.09159439943015e-22,0.745932378897883,0.339316174384744,15,0.714031746097159,1467,"MESH:D008325"
"Disseminated Intravascular Coagulation",3.46926349747732,9.44064488822695e-23,106,7.26293968144288e-22,0.581500858723439,0.13566762513917,9,0.520848206140206,1080,"MESH:D004211"
"Endometrial Neoplasms",3.26089852446444,9.46156153440076e-23,117,7.26293968144288e-22,0.659871869337147,0.20899979366305,12,0.602239823551717,1276,"MESH:D016889"
"Skin Diseases",2.65590301734114,1.66040722581115e-22,175,1.26546750710036e-21,0.880330522725295,0.571567715614864,30,0.864143511542035,2410,"MESH:D012871"
"Weight Loss",2.65572711112773,1.94774088561263e-22,472,1.47392874109835e-21,0.702546074343472,0.0100153354477027,125,0.244065394741195,10352,"MESH:D015431"
"Respiratory Hypersensitivity",5.25370395148822,2.02275046728535e-22,63,1.51991179478414e-21,0.325262054235506,0.137045337893883,2,0.520848206140206,463,"MESH:D012130"
"Acidosis",4.34449525359101,2.25957490312565e-22,77,1.68599050463991e-21,0.797270748235114,0.726155096749169,7,0.958347289097861,643,"MESH:D000138"
"Polyuria",3.63250931233576,2.29604268934687e-22,97,1.70130385384243e-21,0.916200269228598,0.885845276746107,12,1,954,"MESH:D011141"
"Peripheral Nervous System Diseases",2.92155767099172,2.68334770317415e-22,140,1.9745737926116e-21,0.825247657705822,0.510873071016503,20,0.825179745567673,1777,"MESH:D010523"
"Anemia, Aplastic",3.95778625942012,2.71495146306398e-22,86,1.98414603499265e-21,0.840695017168999,0.750959941540702,9,0.96526104507568,794,"MESH:D000741"
"Heart Defects, Congenital",2.28778127531508,3.84542794943305e-22,316,2.79120518506467e-21,0.714327942189013,0.0249042176468083,64,0.286346777230667,5618,"MESH:D006330"
"Hyperlipidemias",2.90207363798691,4.03030617938855e-22,140,2.90563290095107e-21,0.641698894691086,0.100628634935305,16,0.459778348571807,1810,"MESH:D006949"
"Tremor",3.42522435204395,4.85961234890005e-22,104,3.4800042793801e-21,0.520080824866033,0.076103491733866,8,0.408699255848561,1075,"MESH:D014202"
"Movement Disorders",2.62535394002454,5.18666646481998e-22,176,3.68944874530861e-21,0.700019932292813,0.109920698267107,25,0.482111905595791,2395,"MESH:D009069"
"Pulmonary Fibrosis",3.66238583612188,5.33834082614218e-22,94,3.77219182880378e-21,0.706073897752465,0.378072503776421,9,0.732393736352775,947,"MESH:D011658"
"Hematologic Diseases",3.17588113176626,5.97546946721317e-22,117,4.19462231678714e-21,0.587209639713459,0.0835236246979152,11,0.423767101994944,1296,"MESH:D006402"
"Metaplasia",3.24109949082118,6.08240913386356e-22,113,4.2417846704787e-21,0.446734358052787,0.0211159761113154,8,0.281659874904158,1253,"MESH:D008679"
"Depressive Disorder",2.29132549862258,6.51314292897775e-22,297,4.51267760079173e-21,0.799294030172174,0.1524496273953,63,0.536492944067716,5242,"MESH:D003866"
"Carcinoma, Hepatocellular",2.37193378864425,7.98853994104915e-22,416,5.49920781748351e-21,0.65040916456161,0.00158198369149725,96,0.130830051286822,8572,"MESH:D006528"
"Hepatomegaly",2.33135424084937,8.59542963631138e-22,396,5.87905347560529e-21,0.663977207712614,0.00314720645720643,89,0.153102337653513,8038,"MESH:D006529"
"Pruritus",2.70642210114639,1.51169740137101e-21,158,1.02737651418017e-20,0.800746727905762,0.367148619869001,24,0.719436795228979,2132,"MESH:D011537"
"Arteriosclerosis",3.52962213117764,2.05268617557963e-21,96,1.38621275274903e-20,0.436293764686028,0.043275885151555,6,0.343695800936627,941,"MESH:D001161"
"Cataract",3.62629772135185,2.36257169495297e-21,92,1.58544905566969e-20,0.551854037124976,0.137941002288501,7,0.520848206140206,876,"MESH:D002386"
"Hypercholesterolemia",2.86435256978235,2.47950444018083e-21,138,1.65351952354559e-20,0.690353803866811,0.155223634914678,17,0.539369521321173,1765,"MESH:D006937"
"Uterine Cervical Neoplasms",2.25401965260094,2.85073513973436e-21,308,1.88927602117799e-20,0.728518904978963,0.034511944082171,63,0.300435555325846,5564,"MESH:D002583"
"Thyroid Neoplasms",3.96693846248227,3.0925609706468e-21,81,2.03689046646922e-20,0.903796827850018,1,9,1,715,"MESH:D013964"
"Gastritis",6.84912177376516,3.13672990914164e-21,47,2.05330724727247e-20,0.27612221197199,0.272059682820491,1,0.642321894198678,277,"MESH:D005756"
"Myocarditis",3.44988204261982,3.55451703480102e-21,98,2.30660215740865e-20,1.01984645553863,0.888419120775031,14,1,1001,"MESH:D009205"
"Hypothermia",3.3199804747165,3.5669105526938e-21,104,2.30660215740865e-20,0.776132233645123,0.501685645891414,12,0.818537359811166,1086,"MESH:D007035"
"Tachycardia",3.98053661465743,4.3243751353412e-21,80,2.77958329482473e-20,0.919787406202758,1,9,1,727,"MESH:D013610"
"Thromboembolism",3.60235071380762,5.43238465964247e-21,91,3.47087091726857e-20,0.72317464092414,0.456140884250692,9,0.791259039694317,872,"MESH:D013923"
"Fatigue",2.99627604432745,5.88816777202812e-21,124,3.73968750759167e-20,0.826732878585551,0.555934732002813,17,0.849829987738126,1484,"MESH:D005221"
"Neurologic Manifestations",3.74517193987176,9.66805228139078e-21,85,6.10403064156447e-20,0.811560653928077,0.640874437139728,9,0.910468382857177,815,"MESH:D009461"
"Status Epilepticus",3.18906046711889,1.06677189019733e-20,108,6.6955623931797e-20,0.908566608315079,0.896762525427565,15,1,1176,"MESH:D013226"
"Kidney Diseases",2.49990148819724,1.11576101410627e-20,463,6.96208773129466e-20,0.732995555054894,0.0225067924676499,125,0.286346777230667,10208,"MESH:D007674"
