"ONTOLOGY","ID","Description","pvalue_enr","pvalue_depl","p.adjust_enr","p.adjust_depl","GeneRatio_enr","GeneRatio_depl","geneID_enr","geneID_depl"
"CC","GO:0045211","postsynaptic membrane",6.6933457092304e-13,3.13044886326956e-13,4.73315160867007e-11,2.03031969132054e-11,"49/606","52/659","Psd3/Grm5/Homer1/Gria2/Cadps2/Bcr/Gabra2/Lrrc7/Shank1/Gria3/Anks1b/Cnih3/Nptx2/Slc8a1/Shisa7/Syne1/Sipa1l1/Grin2b/Sorcs3/Gabra3/Lin7a/Cacna2d1/Cacna1e/Met/Adra2a/Chrm4/Drp2/Homer2/Grin3a/Chrm5/Nrgn/Adra1a/Adgrl2/Cnih2/Arhgap32/Cnksr2/Dlg2/Lzts1/Plppr4/Dlgap1/Strn/Dlgap3/Arc/Kcnb1/Farp1/Clstn1/Htr2a/Arf1/Shank2","Slc6a1/Rph3a/Erbb4/Kcnc1/Tmem108/Nrp2/Dnm3/Cdh9/Kcna1/Cacng2/Clstn2/Htr3a/Kcnc2/Tiam1/Chrm2/Gabra4/Atp2b2/Grm2/Grin2d/Grm1/Ptpro/Cacna1c/Lin7c/Kcnc3/Gabrd/Nrp1/Slc6a6/Grik1/Gsg1l/Pcdh8/Grik4/Oprm1/Nectin3/Lrrtm4/Cpeb4/Cspg5/Epha7/Slc8a3/Glra2/Cdh2/Comt/Gria4/Kcna3/Il1rapl1/Adcy1/Kcnd3/Camk2n1/Grik2/Gabbr2/Chrm3/Shisa6/Htr7"
"CC","GO:0043198","dendritic shaft",8.32484218241323e-12,0.652825693703508,5.15099610036819e-10,0.991247039937767,"20/606","3/659","Grm5/Homer1/Gria2/Gria3/Cnih3/Slc8a1/Map2/Zmynd8/Sez6/Jph4/Grk3/Syngap1/Baiap2/Cnih2/Hcn1/Map1a/Lzts1/Akap5/Prex1/Htr2a","Cacna1c/Inpp5j/Slc1a2"
"BP","GO:0099173","postsynapse organization",1.99748743415329e-11,0.00258762955823752,1.67389446982046e-08,0.0324042012445635,"33/601","19/654","Homer1/Gap43/Prnp/Shank1/Arhgap33/Ndrg1/Shisa7/Itpka/Lrrk2/Sipa1l1/Grin2b/Ctnnd2/Zmynd8/Ephb3/Myh10/Etv5/Actr2/Zfp365/Cdkl5/Dgkb/Abi2/Ptn/Arhgap44/Syngap1/Dgkz/Baiap2/Cnksr2/Arc/Farp1/Snx27/Nptxr/Arf1/Shank2","Rph3a/Reln/Dock10/Tmem108/Nrp2/Dnm3/Ephb1/Tiam1/Il1rap/Cux2/Camk2b/Nrp1/Wnt5a/Lrrtm4/Epha7/Cdh2/Apoe/Il1rapl1/Shisa6"
"BP","GO:0050803","regulation of synapse structure or activity",4.21363924163073e-11,5.26240954206473e-06,2.94252473707213e-08,0.000392140242082823,"39/601","31/654","Homer1/Gap43/Prnp/Arhgap33/Shisa7/Itpka/Lrrk2/Sipa1l1/Grin2b/Adgrl3/Cttnbp2/Zmynd8/Ephb3/Myh10/Dab2ip/Etv5/Camkv/Actr2/Cdkl5/Gpm6a/Dgkb/Flrt1/Abi2/Ptn/Arhgap44/Syngap1/App/Adgrl2/Baiap2/Slitrk5/Arc/Slc17a7/Farp1/Snx27/Clstn1/Nptxr/Malat1/Shank2/Adgrl1","Reln/Lrtm2/Cntnap4/Rims3/Nrp2/Dnm3/Clstn2/Sparcl1/Ephb1/Tiam1/Il1rap/Cux2/Camk2b/Mef2c/Ptpro/Itsn1/Amigo2/Slc17a8/Wnt5a/Prkca/Pcdh8/Lrrtm4/Epha7/Cdh2/Thbs2/Apoe/Il1rapl1/Cbln2/Amigo1/Sybu/Shisa6"
"BP","GO:0048167","regulation of synaptic plasticity",5.50582053136094e-11,0.000195470515379351,3.29562686091462e-08,0.00472626562599765,"35/601","24/654","Grm5/Kit/Plk2/Prnp/Shank1/Egr1/Shisa7/Itpka/Sipa1l1/Grin2b/Ctnnd2/Rin1/Sorcs3/Nos1/Unc13b/Tnr/Slc4a10/Syt4/Jph4/Nrgn/Ptn/Syngap1/App/Baiap2/Kcnn2/Map1a/Lzts1/Nr3c1/Arc/Kcnb1/Vamp2/Kdr/Npas4/Arf1/Shank2","Rasgrf2/Reln/Cplx2/Rims3/Calb2/Mme/Atp2b2/Camk2b/Mef2c/Grin2d/Gfap/Paip2/Grik1/Mgll/Fam107a/Ncdn/Slc8a3/Apoe/Tshz3/Adcy1/Igsf11/Grik2/Shisa6/Htr7"
"CC","GO:0033267","axon part",6.17178256504072e-11,7.20619552777482e-08,3.39448041077239e-09,1.81756264978321e-06,"51/606","47/659","Prkcb/Prkcg/Gria2/Lrrc7/Gria3/Cntnap2/Synj2/Nptx2/Map2/Lrrk2/Fkbp1a/Grin2b/L1cam/Nos1/Adra2a/Tmod2/Myh10/Chrm4/Unc13b/Lmtk2/Nav1/Lrp1/Cdkl5/Gpm6a/Slc4a10/Calm1/App/Cbl/Calm2/Git1/Tspoap1/Ap3m2/Timp2/Sept6/Hcn1/Map1a/Dlg2/Eno2/Nfasc/Ptprn/Fscn1/Kcnq2/Scn2a/Nin/Prex1/Nptxr/Lrig2/Pfn2/Shank2/Adgrl1/Itga4","Gad1/Slc32a1/Kcnc1/Npy/Cplx2/Crhbp/Kcna1/Rgs10/Dscam/Kcnc2/Tiam1/Pdyn/Cplx1/Scn1a/Map1b/Spock1/Itsn1/Slc17a8/Inpp5j/Kcnc3/Olfm1/Nrp1/Grik1/Sept5/Cntnap1/Pnoc/Prkca/Mgll/Grik4/Cnr1/Rufy3/Pard3/Gria4/Kcna3/Tshz3/Bcan/Amigo1/Slc1a2/Sybu/Cxcr4/Fkbp4/Grik2/Pcdh9/Adcyap1/Orai2/Chrm3/Htr7"
"CC","GO:0044309","neuron spine",1.18434151920145e-10,0.0268547179553992,5.86249052004715e-09,0.128337283702645,"32/606","16/659","Grm5/Homer1/Gria2/Lrrc7/Shank1/Gria3/Arhgap33/Slc8a1/Shisa7/Itpka/Syne1/Sipa1l1/Grin2b/Atp2b1/Zmynd8/Myh10/Sez6/Pde4b/Abi2/Grk3/Nrgn/Arhgap44/Baiap2/Cnih2/Kcnn2/Lzts1/Akap5/Strn/Dlgap3/Nr3c1/Clstn1/Shank2","Rph3a/Dock10/Dnm3/Rgs10/Tiam1/Kcnj2/Grm1/Ptpro/Cald1/Itsn1/Oprm1/Slc8a3/Comt/Gria4/Slc1a2/Shisa6"
"BP","GO:0050807","regulation of synapse organization",2.46864037559335e-10,2.05343559540675e-05,1.29295039671702e-07,0.00104411160509976,"37/601","29/654","Homer1/Gap43/Prnp/Arhgap33/Shisa7/Itpka/Lrrk2/Sipa1l1/Grin2b/Adgrl3/Cttnbp2/Zmynd8/Ephb3/Myh10/Dab2ip/Etv5/Camkv/Actr2/Cdkl5/Gpm6a/Dgkb/Flrt1/Abi2/Ptn/Arhgap44/App/Adgrl2/Baiap2/Slitrk5/Arc/Farp1/Snx27/Clstn1/Nptxr/Malat1/Shank2/Adgrl1","Reln/Lrtm2/Cntnap4/Rims3/Nrp2/Dnm3/Clstn2/Sparcl1/Ephb1/Tiam1/Il1rap/Cux2/Camk2b/Mef2c/Ptpro/Itsn1/Amigo2/Wnt5a/Prkca/Pcdh8/Lrrtm4/Epha7/Cdh2/Thbs2/Apoe/Il1rapl1/Cbln2/Amigo1/Shisa6"
"CC","GO:0043197","dendritic spine",2.61815165885614e-10,0.0214734797132754,1.17816824648526e-08,0.109538874043001,"31/606","16/659","Grm5/Gria2/Lrrc7/Shank1/Gria3/Arhgap33/Slc8a1/Shisa7/Itpka/Syne1/Sipa1l1/Grin2b/Atp2b1/Zmynd8/Myh10/Sez6/Pde4b/Abi2/Grk3/Nrgn/Arhgap44/Baiap2/Cnih2/Kcnn2/Lzts1/Akap5/Strn/Dlgap3/Nr3c1/Clstn1/Shank2","Rph3a/Dock10/Dnm3/Rgs10/Tiam1/Kcnj2/Grm1/Ptpro/Cald1/Itsn1/Oprm1/Slc8a3/Comt/Gria4/Slc1a2/Shisa6"
"CC","GO:0150034","distal axon",2.56447847383684e-09,6.49372558864609e-07,1.0578473704577e-07,1.09190793231308e-05,"42/606","39/659","Prkcb/Prkcg/Gria2/Gria3/Synj2/Nptx2/Map2/Lrrk2/Fkbp1a/Grin2b/L1cam/Nos1/Adra2a/Tmod2/Myh10/Chrm4/Unc13b/Lmtk2/Lrp1/Cdkl5/Gpm6a/Slc4a10/Calm1/App/Cbl/Calm2/Git1/Tspoap1/Timp2/Sept6/Hcn1/Eno2/Ptprn/Fscn1/Nin/Prex1/Nptxr/Lrig2/Pfn2/Shank2/Adgrl1/Itga4","Gad1/Slc32a1/Kcnc1/Npy/Cplx2/Crhbp/Kcna1/Rgs10/Dscam/Kcnc2/Tiam1/Pdyn/Cplx1/Map1b/Itsn1/Slc17a8/Inpp5j/Kcnc3/Olfm1/Nrp1/Grik1/Sept5/Pnoc/Prkca/Grik4/Cnr1/Rufy3/Pard3/Gria4/Kcna3/Tshz3/Cxcr4/Fkbp4/Grik2/Pcdh9/Adcyap1/Orai2/Chrm3/Htr7"
"BP","GO:0106027","neuron projection organization",4.20546809458527e-09,0.0286096361629192,1.95787903514581e-06,0.173180458678063,"21/601","10/654","Homer1/Prnp/Shank1/Arhgap33/Itpka/Lrrk2/Sipa1l1/Grin2b/Ctnnd2/Zmynd8/Ephb3/Actr2/Zfp365/Abi2/Arhgap44/App/Baiap2/Map1a/Arc/Arf1/Shank2","Rph3a/Reln/Dock10/Dnm3/Ephb1/Tiam1/Cux2/Abcd2/Camk2b/Apoe"
"BP","GO:0099003","vesicle-mediated transport in synapse",5.64812183181298e-09,0.00583860967600859,2.36656304752964e-06,0.062461561929973,"33/601","21/654","Prkcb/Prkcg/Usp46/Cadps2/Ap2b1/Doc2b/Map2/Lrrk2/Syne1/Lin7a/Syt17/Adra2a/Sh3gl2/Unc13b/Syt4/Grin3a/Adra1a/Eps15/Git1/Ap3m2/Cnih2/Otof/Akap5/Syt9/Arc/Slc17a7/Clstn1/Vamp2/Htr2a/Pfn2/Arf1/Fcho2/Stx1a","Cplx2/Syt2/Rims3/Dnm3/Chrm2/Cplx1/Nrxn3/Ppfia2/Itsn1/Vamp1/Cyth1/Sept5/Syt6/Cadps/Prkca/Gsg1l/Cspg5/Prkce/Napa/Adcy1/Htr7"
"CC","GO:0043235","receptor complex",6.39383562265841e-09,5.69103613888706e-09,2.43457587170455e-07,1.72248693803648e-07,"37/606","39/659","Kit/Gria2/Gabra2/Lrrc7/Shank1/Gria3/Cnih3/Shisa7/Pex5l/Grin2b/Bmp2/Gabra3/Ephb3/Plxna2/Met/Tyro3/Adra2a/Alcam/Plxna1/Lmtk2/Plxnc1/Lrp1/Cd36/Kctd12b/Lifr/Grin3a/App/Cnih2/Slitrk5/Bmpr2/Dlg2/Bmpr1b/Dlgap3/Kdr/Mttp/Shank2/Itga4","Erbb4/Npnt/Itgb8/Cacng2/Htr3a/Ephb1/Adcyap1r1/Gabra4/Gfra2/Plxna4/Gprc5b/Grin2d/Grm1/Eps8/Egfr/Olfm1/Gabrd/Crlf1/Grik1/Olfm3/Flt3/Grik4/Gpr61/Lrrtm4/Fgfr1/Ddr1/Epha7/Nt5dc3/Olfm2/Itga11/Gria4/Epha3/Alk/Grik2/Gabbr2/Npr1/Tgfbr1/Shisa6/Calcrl"
"BP","GO:0007611","learning or memory",8.10063861274162e-09,1.42932881186004e-05,3.08560688976249e-06,0.000834805287143118,"35/601","30/654","Grm5/Kit/Plk2/Prnp/Shank1/Cntnap2/Nptx2/Meis2/Egr1/Shisa7/Grin2b/Ctnnd2/Rin1/Prkar1b/Sorcs3/Cacna1e/Tmod2/Hrh3/Tnr/Syt4/Jph4/Abi2/Ptn/Uba6/Syngap1/App/Map1a/Arc/Slc17a7/Ttbk1/Scn2a/Thra/Htr2a/Npas4/Shank2","Slc6a1/Reln/Tafa2/Pde1b/Ntf3/Jun/Vip/Cux2/Igf1/Pde5a/Mme/Rcan2/Tac1/Mef2c/Aff2/Cacna1c/Egfr/Ngf/Ccnd2/Ndrg4/Paip2/Grpr/Prkca/Cnr1/Slc8a3/Glp1r/Comt/Apoe/Adcy1/Htr7"
