"","Length","gencodeID","ensemblID","gene_type","Symbol","EntrezID","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000033740.17",6464,"ENSMUSG00000033740.17","ENSMUSG00000033740","protein_coding","St18",240690,7.92628286821537,-2.0914327336399,5.23855065226713,-8.60932527618103,3.57909798480078e-08,6.21169526011727e-06,8.99206498528429
"ENSMUSG00000103329.2",2915,"ENSMUSG00000103329.2","ENSMUSG00000103329","TEC","Gm42492",NA,0.455687331901133,-1.53352573048133,0.192395805035624,-2.22477541651286,0.0377253247898871,0.230444413301335,-3.655594965616
"ENSMUSG00000102135.1",626,"ENSMUSG00000102135.1","ENSMUSG00000102135","processed_pseudogene","Gm37108",NA,0.211790272734919,-0.662870008911463,-1.41936213514231,-0.981695502924149,0.337935939900672,0.712974756359491,-5.10029321692965
"ENSMUSG00000051285.17",6654,"ENSMUSG00000051285.17","ENSMUSG00000051285","protein_coding","Pcmtd1",319263,21.2800293460585,0.040762976709508,7.1364093950913,0.352912987285647,0.72783289519739,0.931231574690633,-7.40680937701288
"ENSMUSG00000103509.1",4028,"ENSMUSG00000103509.1","ENSMUSG00000103509","TEC","Gm38372",NA,0.192680243095782,1.75672058617843,-0.41563416630423,2.23079500962521,0.0372628410155587,0.229266154827301,-3.62458956473833
"ENSMUSG00000048538.7",1299,"ENSMUSG00000048538.7","ENSMUSG00000048538","processed_pseudogene","Gm9826",NA,0.622226318413225,0.1229299712296,-0.248931935493911,0.160783659414775,0.873871069684297,0.964816844407842,-5.60627936167004
"ENSMUSG00000025909.16",10908,"ENSMUSG00000025909.16","ENSMUSG00000025909","protein_coding","Sntg1",71096,4.21512143654867,-0.177776202309283,5.51806769767448,-1.29860859584363,0.208800887598078,0.576685755125865,-6.24669629934315
"ENSMUSG00000086235.1",400,"ENSMUSG00000086235.1","ENSMUSG00000086235","processed_pseudogene","Gm16284",NA,0.236226293177354,-0.296868606939554,-1.68352255192917,-0.381433408380645,0.706889595263841,0.924883988722506,-5.43917862279804
"ENSMUSG00000061024.8",2048,"ENSMUSG00000061024.8","ENSMUSG00000061024","protein_coding","Rrs1",59014,8.81608471319927,-0.274301409127179,4.1609234710105,-1.33002767837601,0.198426146624523,0.565199010825197,-5.84072462636945
"ENSMUSG00000025911.14",3780,"ENSMUSG00000025911.14","ENSMUSG00000025911","protein_coding","Adhfe1",76187,0.381678768993124,0.586348992158681,0.642870509417287,1.05173867581328,0.305417755091789,0.682933221093229,-5.24956992865739
"ENSMUSG00000081441.3",1102,"ENSMUSG00000081441.3","ENSMUSG00000081441","processed_pseudogene","Gm6161",NA,2.93144897520196,-0.638990465550175,1.28215362735786,-0.996070100321211,0.331073734250364,0.706315147968165,-5.40921955511121
"ENSMUSG00000067879.3",3256,"ENSMUSG00000067879.3","ENSMUSG00000067879","protein_coding","Vxn",76982,116.910334716443,1.09160329063192,8.47281755971208,11.0833091314443,5.24370884113799e-10,2.74690893141674e-07,12.8012025335032
"ENSMUSG00000025912.16",5402,"ENSMUSG00000025912.16","ENSMUSG00000025912","protein_coding","Mybl1",17864,0.871710868366634,-1.23597276092418,2.01200257534085,-2.59314369984125,0.0173516985319309,0.144848604041925,-3.19400800286208
"ENSMUSG00000045210.8",9749,"ENSMUSG00000045210.8","ENSMUSG00000045210","protein_coding","Vcpip1",70675,25.3761395845884,0.093871656917644,7.95061527107154,1.32332982256493,0.200603149371926,0.567523131584311,-6.7690650746113
"ENSMUSG00000025915.14",14311,"ENSMUSG00000025915.14","ENSMUSG00000025915","protein_coding","Sgk3",170755,0.403517887197395,0.480130388266907,2.51230786884235,1.34972202209245,0.192132519143897,0.556907253259648,-5.33625331710562
"ENSMUSG00000046101.16",5916,"ENSMUSG00000046101.16","ENSMUSG00000046101","protein_coding","Mcmdc2",240697,0.266663912517947,-0.704762067174204,0.696438324021514,-1.33404944359088,0.197127910226066,0.562929402255898,-4.95085779770739
"ENSMUSG00000098234.7",1146,"ENSMUSG00000098234.7","ENSMUSG00000098234","lincRNA","Snhg6",NA,2.27122713626922,-1.21148371657777,1.20836079206352,-2.08067726495644,0.0504821827613345,0.272519895444271,-3.98169645725409
"ENSMUSG00000025917.9",3766,"ENSMUSG00000025917.9","ENSMUSG00000025917","protein_coding","Cops5",26754,16.0302961105746,0.159865085348347,5.9131259518985,1.43820415975582,0.165786668812896,0.520042486621035,-6.18366743407262
"ENSMUSG00000056763.16",17553,"ENSMUSG00000056763.16","ENSMUSG00000056763","protein_coding","Cspp1",211660,0.89334881016608,0.413294897259406,3.95002635404587,1.85316985750705,0.0786182493987037,0.354479310734322,-5.03443879711936
"ENSMUSG00000067851.11",11318,"ENSMUSG00000067851.11","ENSMUSG00000067851","protein_coding","Arfgef1",211673,27.3656903347975,-0.0645799779529595,8.27457390302812,-0.969896653972281,0.3436415215421,0.717282176152896,-7.23084568457852
"ENSMUSG00000088153.1",240,"ENSMUSG00000088153.1","ENSMUSG00000088153","misc_RNA","Gm26348",NA,0.163809217982394,0.259694424968428,-1.75418896080874,0.369473828900728,0.715643938148013,0.926691892042299,-5.44743495442785
"ENSMUSG00000048960.13",16609,"ENSMUSG00000048960.13","ENSMUSG00000048960","protein_coding","Prex2",109294,2.31496076008396,-0.19676197812225,5.23280020039544,-0.840033438127516,0.41078477366988,0.767118878909284,-6.6389123899589
"ENSMUSG00000057715.13",9183,"ENSMUSG00000057715.13","ENSMUSG00000057715","protein_coding","A830018L16Rik",320492,22.6716049571535,0.06388391793336,7.69979408373004,0.793625347429155,0.436696034779749,0.785267961725989,-7.26743260803078
"ENSMUSG00000016918.15",11294,"ENSMUSG00000016918.15","ENSMUSG00000016918","protein_coding","Sulf1",240725,1.18355063890288,1.28157443479037,3.58488892482526,3.98267371778305,0.000728373764086617,0.0149364143057715,-0.581244883009201
"ENSMUSG00000025938.16",13137,"ENSMUSG00000025938.16","ENSMUSG00000025938","protein_coding","Slco5a1",240726,0.20070011526406,-0.830517113327835,1.29590393250751,-1.5709092701683,0.131835094144503,0.466728091844362,-4.7621350396634
"ENSMUSG00000005886.14",15642,"ENSMUSG00000005886.14","ENSMUSG00000005886","protein_coding","Ncoa2",17978,16.1737813856083,0.179210634502814,7.97985890045065,2.47151292410647,0.0225274934907632,0.169282666973791,-4.85898248871652
"ENSMUSG00000101476.1",681,"ENSMUSG00000101476.1","ENSMUSG00000101476","antisense","Gm29570",NA,0.315542075671107,-0.900544791384473,-1.49002854402189,-1.12008839899958,0.275900622731871,0.653172142979194,-4.97805650688298
"ENSMUSG00000025935.10",3162,"ENSMUSG00000025935.10","ENSMUSG00000025935","protein_coding","Tram1",72265,7.97920567008498,-0.297893128183298,4.62358489212934,-1.43160706887456,0.167644729318216,0.522646426640937,-5.83475395969044
"ENSMUSG00000025937.6",4566,"ENSMUSG00000025937.6","ENSMUSG00000025937","protein_coding","Lactb2",212442,2.92992997885573,-0.616442101204241,3.70696283132954,-2.30304415062267,0.0321032461024804,0.211658587099,-4.14712682048611
"ENSMUSG00000102982.1",1266,"ENSMUSG00000102982.1","ENSMUSG00000102982","TEC","Gm38319",NA,0.122501194240867,-0.237727250349752,-1.75418896080874,-0.304044973202166,0.764223288221865,0.94338246097482,-5.46565918237852
"ENSMUSG00000025932.14",7808,"ENSMUSG00000025932.14","ENSMUSG00000025932","protein_coding","Eya1",14048,1.69355742475074,-1.06525999659848,3.61941161340981,-5.19970473401418,4.30287534051642e-05,0.00163840982404201,2.16884103800049
"ENSMUSG00000054493.2",3566,"ENSMUSG00000054493.2","ENSMUSG00000054493","antisense","Gm9947",NA,0.378298447416687,-0.182373147130919,0.43209832854216,-0.275193789286726,0.785980363281958,0.950008514866182,-5.67411654684578
"ENSMUSG00000025930.6",2546,"ENSMUSG00000025930.6","ENSMUSG00000025930","protein_coding","Msc",17681,0.133775569811165,0.68096397484506,-1.16445432772118,0.963007840825119,0.347003199165948,0.720180505475584,-5.17163132901104
"ENSMUSG00000103492.1",4321,"ENSMUSG00000103492.1","ENSMUSG00000103492","TEC","Gm37412",NA,0.222436789448311,0.902993083163139,0.003431031366469,1.33555390471523,0.196643988977682,0.562532622448651,-4.87096329158068
"ENSMUSG00000082193.1",894,"ENSMUSG00000082193.1","ENSMUSG00000082193","processed_pseudogene","Rpl5-ps1",NA,0.315080261601978,-1.25603525680838,-1.29653453611461,-1.57698163212929,0.13043106572671,0.464296737379387,-4.49749202828723
"ENSMUSG00000032769.4",4263,"ENSMUSG00000032769.4","ENSMUSG00000032769","protein_coding","Trpa1",277328,0.300060680200634,-1.78547907987452,0.177106264031389,-2.45817215677266,0.0231758108860769,0.172244300424596,-3.26411444742284
"ENSMUSG00000073737.3",996,"ENSMUSG00000073737.3","ENSMUSG00000073737","processed_pseudogene","Gm10566",NA,0.194755258104129,-0.807099663946705,-1.38816250891051,-1.13395628259918,0.270175567758438,0.647110433726986,-4.97538405313545
"ENSMUSG00000092083.4",15165,"ENSMUSG00000092083.4","ENSMUSG00000092083","protein_coding","Kcnb2",98741,6.49524054139429,-0.224855204829086,6.61175446620133,-1.96686102131757,0.0631783109923598,0.310310012298355,-5.49965166489038
"ENSMUSG00000025925.14",4608,"ENSMUSG00000025925.14","ENSMUSG00000025925","protein_coding","Terf1",21749,1.91060066026132,0.41227860132538,3.15185409500913,1.70537483693188,0.103554014390213,0.409736380582194,-5.03966628362111
"ENSMUSG00000043716.13",2687,"ENSMUSG00000043716.13","ENSMUSG00000043716","protein_coding","Rpl7",19989,43.4386729412209,-0.176191222379966,6.86556666409109,-2.19257902854964,0.0402892797339189,0.239834978911934,-5.15391133744155
"ENSMUSG00000025921.7",4160,"ENSMUSG00000025921.7","ENSMUSG00000025921","protein_coding","Rdh10",98711,1.65856982809783,-0.487909093871581,2.81230593013597,-1.82852040458829,0.0823726826655004,0.363792938909184,-4.73362779178855
"ENSMUSG00000104165.1",2321,"ENSMUSG00000104165.1","ENSMUSG00000104165","TEC","Gm38249",NA,0.170375939718191,-0.106476866164074,-1.05333568324408,-0.144833736938974,0.886286642548731,0.968215135805495,-5.5501746673262
"ENSMUSG00000025920.19",6747,"ENSMUSG00000025920.19","ENSMUSG00000025920","protein_coding","Stau2",29819,21.9324044725787,-0.0904402164760535,7.21010404140457,-1.15170608128488,0.262976488202414,0.64040333031028,-6.8103510312888
"ENSMUSG00000025939.17",4930,"ENSMUSG00000025939.17","ENSMUSG00000025939","protein_coding","Ube2w",66799,16.9288668577031,0.0299645458902716,6.38607165036023,0.317205743805232,0.754363490443018,0.938728060862877,-7.2534625724991
"ENSMUSG00000079658.9",3026,"ENSMUSG00000079658.9","ENSMUSG00000079658","protein_coding","Eloc",67923,26.7508868682599,-0.0689196422717059,6.34043217935763,-0.684343915297227,0.501584125111685,0.823446771913119,-7.05294006169318
"ENSMUSG00000025940.6",1820,"ENSMUSG00000025940.6","ENSMUSG00000025940","protein_coding","Tmem70",70397,19.669598055004,0.0488654177640034,5.151673226307,0.296841592580359,0.769637520818881,0.944301421227799,-6.9725953860373
"ENSMUSG00000025779.10",1021,"ENSMUSG00000025779.10","ENSMUSG00000025779","protein_coding","Ly96",17087,0.837976200927782,-0.266475370609782,-0.0626176478991072,-0.411950534984204,0.684741913029177,0.917708353344711,-5.56603095314749
"ENSMUSG00000042686.5",4998,"ENSMUSG00000042686.5","ENSMUSG00000042686","protein_coding","Jph1",57339,11.220256200334,-0.673358642717316,5.77534157054384,-5.68712193301789,1.42864814215224e-05,0.000669296488709642,2.87640683100897
"ENSMUSG00000025777.8",7731,"ENSMUSG00000025777.8","ENSMUSG00000025777","protein_coding","Gdap1",14545,21.7361831233987,0.0723497555102254,7.39229365307805,0.860945222415016,0.399436520255786,0.758797706116679,-7.14557297940462
"ENSMUSG00000101589.1",2870,"ENSMUSG00000101589.1","ENSMUSG00000101589","processed_pseudogene","Rbm6-ps1",NA,1.06253756452005,-0.518925570844123,1.61889535043771,-1.30184468932754,0.207713133925563,0.575715399418182,-5.17168219798748
"ENSMUSG00000067780.3",6923,"ENSMUSG00000067780.3","ENSMUSG00000067780","protein_coding","Pi15",94227,0.473714128333664,-0.260970243933524,1.70309762988341,-0.517367424769514,0.610554757869229,0.882911772874341,-5.86491015673983
"ENSMUSG00000025776.13",4515,"ENSMUSG00000025776.13","ENSMUSG00000025776","protein_coding","Crispld1",83691,2.34773865356142,0.18898134872718,3.31922312159707,0.622404069054737,0.540683364323243,0.844772835542229,-6.29125673947131
"ENSMUSG00000109887.1",2570,"ENSMUSG00000109887.1","ENSMUSG00000109887","processed_transcript","Gm28756",NA,0.642080094824781,0.470607197655585,0.771301291008724,0.864877462999165,0.397325469294286,0.757534508403035,-5.43525174255296
"ENSMUSG00000100720.1",545,"ENSMUSG00000100720.1","ENSMUSG00000100720","processed_pseudogene","Gm10075",NA,0.215845073446374,0.401695439924113,-1.68352255192917,0.552091899412392,0.586980956376562,0.869347367791349,-5.3920564091742
"ENSMUSG00000100204.1",2246,"ENSMUSG00000100204.1","ENSMUSG00000100204","processed_pseudogene","Gm4849",NA,0.212292488626696,0.154697425212315,-0.631984053681139,0.222519052061153,0.826158554577063,0.954402807401659,-5.55868757851599
"ENSMUSG00000041859.10",3752,"ENSMUSG00000041859.10","ENSMUSG00000041859","protein_coding","Mcm3",17215,0.14270261098036,-1.06699183881698,-0.536061889165223,-1.5507024902432,0.136598203514406,0.473980960287742,-4.56447251473655
"ENSMUSG00000025931.15",5488,"ENSMUSG00000025931.15","ENSMUSG00000025931","protein_coding","Paqr8",74229,14.3156298741942,-0.181226557628077,6.28930043604512,-1.5938078061712,0.126605673495669,0.457187442744503,-6.02847802836752
"ENSMUSG00000100929.1",858,"ENSMUSG00000100929.1","ENSMUSG00000100929","processed_pseudogene","Gm28064",NA,0.102532943907955,-0.0544568014868503,-1.55144234353574,-0.0787481489831717,0.938012761924209,0.983051022454308,-5.51329119915703
"ENSMUSG00000041809.5",2208,"ENSMUSG00000041809.5","ENSMUSG00000041809","protein_coding","Efhc1",71877,0.1966978845143,0.546902306651819,-0.625895431831996,0.891172787702189,0.383395334615775,0.749576470199378,-5.23424885074367
"ENSMUSG00000025933.15",1351,"ENSMUSG00000025933.15","ENSMUSG00000025933","protein_coding","Tmem14a",75712,10.071472738946,0.514973641570186,3.74987349481301,2.50075211132246,0.0211653988074508,0.163415028666549,-3.8004939163869
"ENSMUSG00000096375.2",366,"ENSMUSG00000096375.2","ENSMUSG00000096375","unprocessed_pseudogene","Gm7094",NA,0.725497032431925,1.17356142036491,-1.03237411932775,1.81076738894481,0.0851726900815211,0.370037771661034,-4.21726015984052
"ENSMUSG00000028033.16",7689,"ENSMUSG00000028033.16","ENSMUSG00000028033","protein_coding","Kcnq5",226922,22.5581032426359,-0.789126185717944,7.28734068747991,-3.79503563201149,0.00112980401283186,0.0205588652313941,-1.82441644591849
"ENSMUSG00000082935.3",1124,"ENSMUSG00000082935.3","ENSMUSG00000082935","processed_pseudogene","Gm7658",NA,5.91937327324069,-0.348712315417764,2.71389667880381,-1.1386628024995,0.268252636274274,0.645201938172639,-5.64939476735996
"ENSMUSG00000097109.1",2095,"ENSMUSG00000097109.1","ENSMUSG00000097109","lincRNA","Gm26580",NA,1.67249422485169,-1.24466772151243,1.55473005620582,-2.66335859705406,0.0148970172428257,0.13045832678659,-3.00582192837226
"ENSMUSG00000099692.1",552,"ENSMUSG00000099692.1","ENSMUSG00000099692","processed_pseudogene","Gm5696",NA,0.140476912960995,-0.174095128555079,-1.8156027603226,-0.23647596389491,0.815459935189646,0.952567460407938,-5.47786450548555
"ENSMUSG00000041670.15",7080,"ENSMUSG00000041670.15","ENSMUSG00000041670","protein_coding","Rims1",116837,48.8760811291774,0.0800866633159857,8.43107598733235,0.918014321660593,0.369511831321396,0.737654614400359,-7.31717216572816
"ENSMUSG00000065405.3",71,"ENSMUSG00000065405.3","ENSMUSG00000065405","miRNA","Mir30a",387225,0.275882224121704,0.108602672929103,-1.8156027603226,0.15867547271765,0.875510259970817,0.964816844407842,-5.49049014478223
"ENSMUSG00000101226.1",644,"ENSMUSG00000101226.1","ENSMUSG00000101226","processed_pseudogene","Gm20954",NA,0.115322409979899,-0.292858613776183,-1.8156027603226,-0.389651621687625,0.700897915944497,0.922501285838432,-5.43205399506727
"ENSMUSG00000026158.11",8109,"ENSMUSG00000026158.11","ENSMUSG00000026158","protein_coding","Ogfrl1",70155,30.7013816154755,-0.258580504477306,7.92460918487787,-1.96959013336099,0.0628432925022252,0.309396057638466,-5.78461582506408
"ENSMUSG00000026156.8",6203,"ENSMUSG00000026156.8","ENSMUSG00000026156","protein_coding","B3gat2",280645,1.51691633830265,-0.704271367191545,3.13509344541799,-2.36037546265297,0.0284865190788928,0.196899822197848,-3.90280241126304
"ENSMUSG00000026155.13",3575,"ENSMUSG00000026155.13","ENSMUSG00000026155","protein_coding","Smap1",98366,16.1241094341853,0.16064889690901,5.84730273087471,1.34648700024191,0.193155351243514,0.558394358130063,-6.28437147442056
"ENSMUSG00000026154.4",874,"ENSMUSG00000026154.4","ENSMUSG00000026154","protein_coding","Sdhaf4",68002,5.7451933495563,0.403579485214042,2.37695998862223,1.39479643003892,0.178323072488501,0.537629945168097,-5.25516615623758
"ENSMUSG00000026153.15",7773,"ENSMUSG00000026153.15","ENSMUSG00000026153","protein_coding","Fam135a",68187,5.38832936809662,-0.11279773068025,5.38858053902975,-0.861517940093026,0.399128601655441,0.758791566749192,-6.6748779612202
"ENSMUSG00000026141.13",6887,"ENSMUSG00000026141.13","ENSMUSG00000026141","protein_coding","Col19a1",12823,1.06685505711243,-1.21494821527489,2.74772967127032,-3.60865683718718,0.00174489532492526,0.028190659328956,-1.23415720181744
"ENSMUSG00000099997.1",1337,"ENSMUSG00000099997.1","ENSMUSG00000099997","processed_pseudogene","Tubb4b-ps2",NA,0.154407622268848,-0.872196717293757,-1.08354985652614,-1.49421624905732,0.15067488387675,0.497595461261864,-4.59971868759333
"ENSMUSG00000100131.1",876,"ENSMUSG00000100131.1","ENSMUSG00000100131","unprocessed_pseudogene","Gm28439",NA,10.2376158679782,2.19309092698465,1.65242314612917,1.57610363863098,0.130633297101603,0.464438917553076,-4.81830683940264
"ENSMUSG00000067736.2",294,"ENSMUSG00000067736.2","ENSMUSG00000067736","unprocessed_pseudogene","Gm10222",NA,14.1377077827633,1.03348871081894,0.982372285472533,0.8833636373284,0.387498335344526,0.749804583981324,-5.4396421411363
"ENSMUSG00000101939.1",345,"ENSMUSG00000101939.1","ENSMUSG00000101939","unprocessed_pseudogene","Gm28438",NA,11.3410746981104,2.72594293174603,1.18961632194404,3.30397494368064,0.00353139562274041,0.0467403894337941,-1.73787974259006
"ENSMUSG00000101111.1",783,"ENSMUSG00000101111.1","ENSMUSG00000101111","unprocessed_pseudogene","Gm28437",NA,19.8777291626848,2.11227597521142,2.25920925585078,1.4991823000747,0.149391324912752,0.496162888331746,-5.06568858137677
"ENSMUSG00000100862.1",678,"ENSMUSG00000100862.1","ENSMUSG00000100862","unprocessed_pseudogene","Gm10925",NA,23.2215478227446,3.46672426149246,2.09191386812772,2.30800376407867,0.0317743835754557,0.210221842923026,-3.74602940631816
"ENSMUSG00000102070.1",681,"ENSMUSG00000102070.1","ENSMUSG00000102070","unprocessed_pseudogene","Gm28661",NA,19.3795019395885,1.96484542225007,1.97326327834449,1.40833551772038,0.174333801777185,0.5319873665176,-5.115298602854
"ENSMUSG00000101249.1",492,"ENSMUSG00000101249.1","ENSMUSG00000101249","unprocessed_pseudogene","Gm29216",NA,26.0475499621946,2.11937416191808,2.08303699303249,1.66591520780656,0.11126174135994,0.426186953886392,-4.78206708839432
"ENSMUSG00000073725.8",5960,"ENSMUSG00000073725.8","ENSMUSG00000073725","protein_coding","Lmbrd1",68421,40.8508429127223,-0.167660528653406,7.91963774888938,-2.35293786301943,0.0289334449884423,0.19904993892887,-5.07760473006482
"ENSMUSG00000033569.17",18559,"ENSMUSG00000033569.17","ENSMUSG00000033569","protein_coding","Adgrb3",210933,13.3937908535721,0.183369283385556,7.95296346406754,2.30095862613071,0.0322424677906133,0.212252681148642,-5.18477475338398
"ENSMUSG00000096866.1",107,"ENSMUSG00000096866.1","ENSMUSG00000096866","snRNA","Gm22260",NA,0.172271843955425,-0.585843098600677,-1.8156027603226,-0.917137375276108,0.36996004743923,0.737654614400359,-5.13859812620331
"ENSMUSG00000084740.1",104,"ENSMUSG00000084740.1","ENSMUSG00000084740","snRNA","Gm25294",NA,0.223053513521458,-0.124611504682227,-1.8156027603226,-0.173327217870714,0.864130300959423,0.962454767460331,-5.48437147902136
"ENSMUSG00000086240.4",274,"ENSMUSG00000086240.4","ENSMUSG00000086240","processed_pseudogene","Gm7846",NA,0.404552404432919,-0.0523927621532288,-1.55144234353574,-0.0705231894646166,0.944475189635755,0.985107147262626,-5.50910012017232
"ENSMUSG00000099492.1",1312,"ENSMUSG00000099492.1","ENSMUSG00000099492","processed_pseudogene","Gm5525",NA,1.29685204699757,0.321368187495222,0.694538248378777,0.524873932974469,0.605420505375235,0.879343653850463,-5.63980279563847
"ENSMUSG00000100261.1",1210,"ENSMUSG00000100261.1","ENSMUSG00000100261","unprocessed_pseudogene","Gm6473",NA,0.772776904352756,0.248230393080413,0.20530009301513,0.457922280782078,0.651927064976755,0.901741227791564,-5.58830098452508
"ENSMUSG00000048874.15",14190,"ENSMUSG00000048874.15","ENSMUSG00000048874","protein_coding","Phf3",213109,12.4470163341864,0.0837005677438255,7.46509782099943,1.0745915015986,0.295306745120985,0.673326817887821,-6.95175954291896
"ENSMUSG00000026064.15",5763,"ENSMUSG00000026064.15","ENSMUSG00000026064","protein_coding","Ptp4a1",19243,10.7871342386104,0.188664379125809,5.93700332008673,1.21782880435915,0.237412624476655,0.61090875303815,-6.46976303329995
"ENSMUSG00000026058.11",10291,"ENSMUSG00000026058.11","ENSMUSG00000026058","protein_coding","Khdrbs2",170771,0.719846009391031,-0.536234309031651,2.85106427122917,-1.7434069296318,0.0965618179254895,0.394905168317468,-4.84873068308675
"ENSMUSG00000026134.11",5938,"ENSMUSG00000026134.11","ENSMUSG00000026134","protein_coding","Prim2",19076,0.762226681411499,-0.203233110840731,2.18639322386156,-0.60775139397434,0.550167680498105,0.850368650212718,-5.94486667820532
"ENSMUSG00000103746.1",889,"ENSMUSG00000103746.1","ENSMUSG00000103746","TEC","1700001G17Rik",67503,0.195005566906701,0.576120720843947,-1.28728192674888,0.840529110401766,0.410513421415316,0.766862493625088,-5.23050672306539
"ENSMUSG00000004768.14",8285,"ENSMUSG00000004768.14","ENSMUSG00000004768","protein_coding","Rab23",19335,3.26314503808449,0.355200101213403,4.74738628991557,2.16525540715583,0.0425887851263898,0.247912501665704,-4.71051977175248
"ENSMUSG00000042215.8",3059,"ENSMUSG00000042215.8","ENSMUSG00000042215","protein_coding","Bag2",213539,1.45275291482326,-0.216698088201356,2.17168666289541,-0.532029627438097,0.600545660763934,0.876161096938656,-5.97647505539339
"ENSMUSG00000042197.13",15839,"ENSMUSG00000042197.13","ENSMUSG00000042197","protein_coding","Zfp451",98403,11.3648431358638,-0.00332084449990556,7.48944101744053,-0.0391678164701158,0.969143567660282,0.991864593815837,-7.54697499465144
"ENSMUSG00000042182.16",3421,"ENSMUSG00000042182.16","ENSMUSG00000042182","protein_coding","Bend6",320705,18.1999458950844,0.030217060842765,5.96217945319834,0.258140807887614,0.798926668116972,0.952255939221857,-7.1654456362095
"ENSMUSG00000026131.18",41155,"ENSMUSG00000026131.18","ENSMUSG00000026131","protein_coding","Dst",13518,16.2014007884489,0.363514514676296,9.26924196116916,1.5049811022269,0.147903902772798,0.493403081287797,-6.80331031315587
"ENSMUSG00000096992.3",4782,"ENSMUSG00000096992.3","ENSMUSG00000096992","processed_transcript","Gm26788",NA,0.10041631082872,-0.195334104513073,-0.585443196234475,-0.33740875729223,0.739311801515103,0.935819221848984,-5.52309052431462
