"","OR_retro","Pval_retro","NumSig_retro","adjPval_retro","OR_syn","Pval_syn","NumSig_syn","adjPval_syn","setSize","ID","OR_retro_neuronBG","Pval_retro_neuronBG","OR_syn_neuronBG","Pval_syn_neuronBG","gsea_pvalue_projectorEnrich"
"Heart Defects, Congenital",1.57739951054829,7.68333023329438e-08,279,2.85760782138295e-06,1.83477331685633,6.28452423699246e-14,330,6.41021472173231e-12,5618,"MESH:D006330",1.112469899921,0.248406970240928,1.34016501843363,0.00110465904180201,0.999095233525854
"Psychomotor Disorders",2.44802977531522,9.46704611349353e-08,53,3.38697511043399e-06,2.34689411889522,1.24711699470459e-07,56,1.71899910080903e-06,637,"MESH:D011596",1.61795969989649,0.00601636921994477,1.54343593945131,0.0106179776735304,0.976927535593071
"Motor Skills Disorders",2.50054596406319,9.89375778784934e-08,50,3.38697511043399e-06,1.82421036127335,0.000674556632182716,42,0.00345752645641392,551,"MESH:D019957",1.99401735115025,0.000251721659585566,1.33511891608355,0.133170091939294,0.724784008231965
"Demyelinating Diseases",2.00250739469582,1.01574227717255e-07,85,3.38697511043399e-06,1.81046965252892,3.69511050361633e-06,86,3.62405068623909e-05,1374,"MESH:D003711",1.26196677440345,0.0908507029897104,1.11619714053312,0.414383475687555,0.974874564092966
"Urinary Retention",3.21760722311206,1.0510057025416e-07,32,3.38774171452577e-06,2.46948279222555,8.6361364860807e-05,28,0.000587257281053487,328,"MESH:D016055",1.89163716175471,0.00509359764108469,1.36083234283706,0.178885572557937,0.195404865453856
"Reflex, Abnormal",1.84157542527214,1.14379911631197e-07,112,3.56791530797961e-06,2.28852545157294,4.18591034078223e-15,144,5.33703568449735e-13,2063,"MESH:D012021",1.24880014610526,0.0703271473408685,1.6471160928397,1.33441013428849e-05,0.979853415513407
"Attention Deficit Disorder with Hyperactivity",3.4204607404643,1.26748285489751e-07,29,3.8301747521434e-06,1.23293654181666,0.428778905092458,13,0.552215256558469,265,"MESH:D001289",2.43043257290107,0.000448840800511857,0.689312515954159,0.267581899897107,0.00461841765359153
"Hypokinesia",2.43615047644293,1.39187772075389e-07,52,4.0786235029364e-06,1.60382294780218,0.00758658963826851,40,0.0272476106726545,620,"MESH:D018476",1.7759384435929,0.00157967071732782,1.05614076613361,0.776306068746191,0.106179127299124
"Hypothermia",2.07174266906726,1.56430946243069e-07,75,4.3974061521731e-06,2.16237892233528,5.37381488599591e-09,85,1.16623216674805e-07,1086,"MESH:D007035",1.36477874360176,0.0327321068441671,1.44568786052393,0.00977566377314612,0.866781282634283
"Hallucinations",2.59108131821547,1.61417116721351e-07,45,4.3974061521731e-06,2.32691262026638,2.27658064827972e-06,45,2.4188669387972e-05,558,"MESH:D006212",1.59094053365083,0.01439096112008,1.39585289593093,0.0767110651804146,0.741090240979531
"Encephalomyelitis, Autoimmune, Experimental",2.29022398197626,1.63709019108823e-07,58,4.3974061521731e-06,1.80016698845637,0.000294539963343012,52,0.00166454346806846,850,"MESH:D004681",1.46516083034227,0.0222157454870305,1.09173427486154,0.611051891846785,0.960760211845234
"Hyperprolactinemia",2.66042231428911,1.77377115180103e-07,42,4.63577487511242e-06,2.52772458347161,3.60567269747793e-07,44,4.37961844061745e-06,499,"MESH:D006966",1.74385317129035,0.00478439528285876,1.64614009323254,0.0117123666131192,0.55713149607364
"Disorders of Excessive Somnolence",3.71882592559396,2.20888353080058e-07,25,5.62102730074779e-06,2.87271712668562,4.33521663944085e-05,22,0.000325141247958064,234,"MESH:D006970",2.12802516645026,0.00432087610955942,1.53756192018197,0.113537769279416,0.0377117897659222
"Developmental Disabilities",2.95084756657887,2.69193303401089e-07,34,6.67461344586803e-06,1.7694904357761,0.0126762600998695,24,0.0415748723532698,342,"MESH:D002658",1.8151222645923,0.00717276498540965,0.969480145424409,1,0.633695617437317
"Movement Disorders",1.71363382702975,2.98483456189166e-07,136,7.21583755337309e-06,1.70996245773609,1.17428759395588e-07,149,1.64078540525343e-06,2395,"MESH:D009069",1.26085926117018,0.0429357944071856,1.26099267680956,0.0337718904771409,0.952882456456495
"Xerostomia",5.20612109291317,3.32179384608327e-07,17,7.83457231503054e-06,3.6844956720124,0.000104219720118155,14,0.000681436631541786,113,"MESH:D014987",2.49124127487917,0.00700065581407025,1.61361673354869,0.14658713618007,0.194220900860726
"Delirium",2.52902383988186,3.4712366459279e-07,44,7.86818141927316e-06,2.14905893662132,3.49990718318396e-05,42,0.00027251185701127,550,"MESH:D003693",1.58329717599063,0.0178485956053014,1.29652041865272,0.166004497411733,0.568135213751081
"Pericardial Effusion",2.01883252687161,3.4987776735134e-07,75,7.86818141927316e-06,1.71465210713802,9.75162484408046e-05,72,0.000641719828449166,1142,"MESH:D010490",1.50385820651351,0.00593178245820752,1.23098399793104,0.150605235072266,0.867813074217154
"Pain",1.6009482919304,4.8855887877238e-07,187,1.07371917221112e-05,1.72093775760905,9.51669321237459e-10,215,2.94152335655215e-08,3760,"MESH:D010146",1.15520040240451,0.155523101483433,1.26437102461299,0.0162365271925178,0.998691737397531
"Catatonia",3.61676629927563,5.87138929610416e-07,24,1.22422266705083e-05,3.09618655395053,1.03618867561597e-05,23,9.03343973613927e-05,215,"MESH:D002389",2.13614586912296,0.00564358187694494,1.75950484424513,0.0389294283713557,0.185398728079536
"Lung Diseases",1.56476407063104,5.9324443117635e-07,213,1.22422266705083e-05,1.74996001245825,5.20931445940596e-11,250,2.31021771678004e-09,4566,"MESH:D008171",1.12388659672156,0.224058807105786,1.29090940227988,0.00632610308585415,0.999996338547194
"Brain Injuries",1.8292187203203,5.95020324212915e-07,98,1.22422266705083e-05,2.06850173010722,1.38578035923783e-10,118,5.88956652676079e-09,1645,"MESH:D001930",1.20690688435154,0.150144208018048,1.40826341145516,0.00535188663568915,0.997577932600147
"Stereotypic Movement Disorder",4.00357127950973,6.79510002578967e-07,21,1.36892952602888e-05,3.82386730929559,8.08594853497497e-07,22,9.26704214120727e-06,148,"MESH:D019956",2.05395066391306,0.0103441698866245,1.95113853498999,0.0191463465206199,0.417328395800316
"Seizures",1.58523488296758,7.95046070700983e-07,190,1.54818893790774e-05,1.89337747625435,2.43327975049343e-13,233,2.17397897486808e-11,3742,"MESH:D012640",1.11028102277992,0.292541897288145,1.38328701526306,0.00068174400376971,0.999561590555254
"Neuroleptic Malignant Syndrome",6.63584241770289,8.0051134328218e-07,13,1.54818893790774e-05,2.32793857664338,0.0569395769678805,6,0.139611462757784,69,"MESH:D009459",4.12425665436233,0.000591413018892596,1.04763669236994,1,0.0336802701677476
"Syncope",3.06632971540473,9.32914661125642e-07,29,1.74446984739969e-05,1.99927063989116,0.00563746855783534,22,0.0210630693369672,305,"MESH:D013575",1.88389125753504,0.00769595088199693,1.10899899774969,0.700284396984496,0.455983511166089
"Abnormalities, Drug-Induced",1.51635367591969,9.38080993431065e-07,358,1.74446984739969e-05,1.77635174042587,1.596272068761e-12,417,1.08546500675748e-10,7934,"MESH:D000014",1.13500113342414,0.178797615310961,1.37916916196386,0.000465097749701932,0.99983848571843
"Mammary Neoplasms, Animal",1.6370710315795,1.02506381768026e-06,150,1.87025794659776e-05,1.37083851258236,0.00149515788719626,145,0.00674805772097428,2820,"MESH:D015674",1.21480150757479,0.0771054997151532,0.97864927820928,0.87285325248344,0.995105831879616
"Child Behavior Disorders",3.03485140366763,1.12176642206989e-06,29,2.00879283359552e-05,1.77625499690911,0.0223716622229417,20,0.0663345798470944,273,"MESH:D002653",1.91743124903626,0.00708029540906699,0.989593862370381,1,0.0595421823065028
"Ventricular Dysfunction, Left",2.27625093852846,1.14600960067018e-06,50,2.01489324336011e-05,1.52688278323973,0.0190386572582339,39,0.0581420071958042,709,"MESH:D018487",1.55701596800001,0.0125611131276287,0.955419653581461,0.853308611399652,0.485878338911967
"Microcephaly",1.9291589672355,1.23073030190639e-06,77,2.1252075034705e-05,1.72167577742535,4.47238206678707e-05,77,0.000332980270665899,1153,"MESH:D008831",1.31073464113941,0.0625570633964193,1.14126373422448,0.350130716327417,0.772465744889622
"Fetal Growth Retardation",1.50259616919549,1.2581176577381e-06,293,2.13438557023288e-05,1.54234985843605,7.5920015054544e-08,326,1.12229587471935e-06,6298,"MESH:D005317",1.17817652158774,0.0797983900490978,1.21907621845758,0.0259933330672581,0.987974865097643
"Substance Withdrawal Syndrome",1.80570362949188,1.37382435622838e-06,95,2.25868692758704e-05,1.82402047609157,3.38031555385786e-07,105,4.20478276211588e-06,1575,"MESH:D013375",1.2601150001054,0.0810580051139841,1.27897604023842,0.0517802992446381,0.986127863189784
"Disseminated Intravascular Coagulation",2.00062004781101,1.37810267557017e-06,70,2.25868692758704e-05,2.41426459726294,1.65393495645678e-11,89,8.24809914087384e-10,1080,"MESH:D004211",1.24887926592643,0.126414153502827,1.58424144834054,0.00108474617700087,0.97147653458246
"Pulmonary Edema",1.71898111012351,1.40681065322459e-06,116,2.26730983611362e-05,1.78708216253806,4.78796663699495e-08,131,7.87697737054007e-07,2166,"MESH:D011654",1.17814758022286,0.163938678198214,1.23714338929745,0.0612021314727986,0.986094964612216
"Catalepsy",2.18467412025486,1.58298437128778e-06,54,2.50941948694309e-05,2.40830402236438,7.36731816140831e-09,64,1.53360500502785e-07,779,"MESH:D002375",1.25677134039742,0.167001705043519,1.4185072023613,0.0295674402597985,0.876326678311331
"Intracranial Hemorrhages",2.12234328085235,1.66555718488046e-06,57,2.57853595663015e-05,1.78253668802523,0.000282430334123807,54,0.001609379557577,771,"MESH:D020300",1.4893373758391,0.0163348651462561,1.20241423738979,0.26461392652474,0.446284092252764
"Atherosclerosis",1.51098826513836,1.72677962700305e-06,251,2.57853595663015e-05,1.68117122750949,2.34937389737867e-10,292,8.8754125012083e-09,5445,"MESH:D050197",1.11596216447631,0.241123508523676,1.27353287869609,0.00745512816688274,0.998902482718102
"Stuttering",10.7570020952669,1.75052889632175e-06,9,2.57853595663015e-05,4.3439334383823,0.0100993162217499,5,0.0339976981722272,33,"MESH:D013342",5.68616618074742,0.00113122145639062,1.66277247873795,0.359707909624393,0.0251264816730803
"Amnesia",2.95886905093984,1.75884023124212e-06,29,2.57853595663015e-05,1.83185996383865,0.0157069559810044,21,0.0492956772326906,323,"MESH:D000647",1.91743124903626,0.00708029540906699,1.05694499352354,0.797345831338559,0.0663734460505396
"Pancreatic Neoplasms",1.61353224648006,1.75991078735874e-06,152,2.57853595663015e-05,1.33845232246786,0.00334066041859861,146,0.013403931786427,2959,"MESH:D010190",1.22686285307839,0.0610817348766992,0.977001615688309,0.873164869684937,0.872819896164967
"Fever",1.59748442589156,1.93944259321325e-06,161,2.79916565318987e-05,1.66780877818671,4.40268114069456e-08,182,7.36186026804665e-07,3123,"MESH:D005334",1.17423799010835,0.134382330391072,1.24026703823413,0.0341668018935974,0.99740105409642
"Neural Tube Defects",1.52402051950417,2.01555798236464e-06,222,2.8235133636147e-05,1.67913999312696,7.3775268728861e-10,258,2.42744432591736e-08,4500,"MESH:D009436",1.13852106160217,0.176850625469549,1.28464219038093,0.00681145537304001,0.971716985708607
"Neoplasm Metastasis",1.50380042768906,2.02511095288403e-06,256,2.8235133636147e-05,1.61351520599082,4.58156266830805e-09,292,1.03848753814983e-07,5433,"MESH:D009362",1.11671198662522,0.242468200671083,1.21853058571709,0.0299951826973575,0.999892948941883
"Skin Neoplasms",1.58488658557192,2.06416341022118e-06,165,2.8235133636147e-05,1.34908782819343,0.00179828505907595,162,0.00794047948163408,3247,"MESH:D012878",1.22039604470992,0.0615051509651584,1.00302029093844,1,0.964589986955995
"Vasospasm, Intracranial",2.92951380402164,2.09642126145922e-06,29,2.8235133636147e-05,1.71713732243684,0.0357846941434777,20,0.101389966739853,323,"MESH:D020301",1.91743124903626,0.00708029540906699,0.989593862370381,1,0.0687121671037975
"Bradycardia",1.8842753372741,2.10230571024052e-06,79,2.8235133636147e-05,2.11925237920026,1.93718521223136e-09,95,5.11716315380857e-08,1328,"MESH:D001919",1.16446655836122,0.286452547153568,1.34606078059425,0.0235407777370775,0.903101794098114
"Mood Disorders",2.44844098437307,2.1530889112453e-06,40,2.85210544818384e-05,2.20052835479883,3.01144224371495e-05,40,0.000241863865243248,491,"MESH:D019964",1.65492920459134,0.011972271604899,1.45356900115914,0.0581507627199841,0.489774335146752
"Eye Abnormalities",2.04755666272025,2.36612527866704e-06,62,3.09195019523112e-05,2.59290424777228,4.98046655914233e-12,82,2.9882799354854e-10,804,"MESH:D005124",1.28508279457012,0.120451810818613,1.73941359677917,0.000191942680536194,0.827469758614065
"Bone Marrow Diseases",1.86671401452958,2.62523091656082e-06,80,3.34716169377192e-05,1.79482702931967,5.13975801108836e-06,85,4.85421589936123e-05,1332,"MESH:D001855",1.28117188601887,0.080963564092229,1.22301627317556,0.140468106689533,0.969477327289227
"Tachycardia",2.21134151100601,2.63065448528093e-06,50,3.34716169377192e-05,1.89020034676277,0.000177524796086102,48,0.00106514877651661,727,"MESH:D013610",1.36877655101268,0.0796198491137968,1.1303680518794,0.477080344561313,0.580673893858831
"Psychotic Disorders",3.77060994150757,2.73948101325771e-06,20,3.44036122054572e-05,3.60993441197647,3.11483304221993e-06,21,3.11483304221993e-05,163,"MESH:D011618",2.00511428129617,0.0147402500329102,1.91049993640163,0.0262955764459602,0.189440922562013
"Status Epilepticus",1.90335889916957,2.96753066063019e-06,74,3.67897711388384e-05,1.8710425645767,2.54841958097568e-06,80,2.64515097673091e-05,1176,"MESH:D013226",1.33023158089287,0.0480888726603802,1.30631291431424,0.0656861237363678,0.779823380131422
"Speech Disorders",4.05745952451731,3.43066941118015e-06,18,4.19931306406482e-05,3.41386969648545,4.71476303089224e-05,17,0.000348482484892035,146,"MESH:D013064",2.54327604854909,0.00468045614828823,2.0396237654867,0.030553314893208,0.0634707794828512
"Heart Septal Defects, Ventricular",2.22831773349518,3.6771089472251e-06,47,4.44470543995834e-05,1.80109934239632,0.000814886702830609,43,0.00407443351415305,627,"MESH:D006345",1.54783931101483,0.0176369826079465,1.19085981601971,0.341086959898135,0.653560695291587
"Mental Disorders",1.70065348980836,3.84885901136999e-06,109,4.59487242468491e-05,1.56104036745589,7.08243398673388e-05,112,0.000498212597687486,1938,"MESH:D001523",1.2203582892157,0.103134330005873,1.09969163076051,0.431013439205059,0.983595529607879
"Tremor",1.93238040228443,3.92495744297433e-06,69,4.62857786262948e-05,2.13786364782878,1.47801208014406e-08,82,2.74104058499444e-07,1075,"MESH:D014202",1.20395641653495,0.222471426476836,1.36520125174116,0.0270992652662789,0.83347214000956
"Brain Diseases",1.50426923297138,4.3681186002948e-06,223,5.08912130901816e-05,1.95623046503337,6.78928196809268e-16,284,1.15417793457576e-13,4622,"MESH:D001927",1.07488770738265,0.47257263028206,1.4870631673779,1.33783805820929e-05,0.999990361003436
"Epilepsy, Tonic-Clonic",2.27152097238146,4.42426843166567e-06,44,5.09317568264369e-05,1.87748026514671,0.000480456366090982,41,0.00256578792362724,578,"MESH:D004830",1.63122482660838,0.0125371720284951,1.28846747348757,0.193097229623291,0.688834529137281
"Fatigue",1.80858647262883,4.63899607206246e-06,85,5.27754023727576e-05,1.61144889419366,0.000152874126744046,85,0.00093934704384896,1484,"MESH:D005221",1.33702480429038,0.0376141640774405,1.16194334297331,0.268497287878543,0.936545176446496
"Sleep Disorders",2.20697612562583,4.76891312640042e-06,48,5.33857337982897e-05,1.88356323461829,0.000206077605030782,46,0.00121502402966126,668,"MESH:D012893",1.45214137783348,0.0355548781883883,1.19612529555989,0.309991283373193,0.603237034443734
"Disease Models, Animal",1.47091150041349,4.80305981432389e-06,282,5.33857337982897e-05,1.91550866917899,6.15691196200774e-16,351,1.15417793457576e-13,6177,"MESH:D004195",1.04881185844891,0.612602948372287,1.45015621317953,3.39400391987965e-05,0.99999020269165
"Pregnancy Complications",1.96843169934429,5.04288032947442e-06,64,5.54143781659291e-05,1.79449646063377,6.15949615116293e-05,65,0.000445580572637318,983,"MESH:D011248",1.44105256533106,0.0195923446887854,1.28883234276477,0.106883407692213,0.905469370455168
"Cardiovascular Diseases",1.50072449758378,6.31788474516743e-06,214,6.86448825682798e-05,1.40752274066595,7.72422495121638e-05,226,0.000532345233124372,4608,"MESH:D002318",1.16934763043102,0.106890318904791,1.08216096192684,0.421905593646731,0.999790454941827
"Abdominal Pain",1.8692641733238,6.53085797774716e-06,73,6.94089721832694e-05,2.19793459334229,7.74112524140557e-10,91,2.46748367069803e-08,1195,"MESH:D015746",1.23326995134952,0.154789262972285,1.51451678972644,0.00236077911432849,0.997953316454962
"Nerve Degeneration",1.46884877225538,6.53176470390643e-06,266,6.94089721832694e-05,1.63698741760428,1.21958131539216e-09,309,3.65874394617649e-08,5730,"MESH:D009410",1.03622782377109,0.711235800329467,1.18228437652821,0.0603960222828454,0.999020007690454
"Bipolar Disorder",2.60133962723984,6.95026181669742e-06,32,7.30532953994174e-05,2.25562651330508,0.00012456910455519,31,0.000794128041539335,380,"MESH:D001714",1.52663623710332,0.0577013808899296,1.28228372092491,0.253719037603688,0.534460993615468
"Coma",1.59646037246912,7.339492926301e-06,136,7.63149425777749e-05,1.74408771403225,1.90230768090699e-08,159,3.44248595817827e-07,2512,"MESH:D003128",1.12391783819614,0.310832346955853,1.25396751637274,0.0338324974580917,0.983569522457968
"Nervous System Malformations",1.53085376932289,7.5014887518079e-06,176,7.71695704574281e-05,1.75263634760463,3.14440535393518e-10,211,1.13043675212405e-08,3604,"MESH:D009421",1.07324276296751,0.50695045963547,1.26711588580989,0.0155789560477395,0.998026207622094
"Neurobehavioral Manifestations",1.46047120340334,7.64352552823628e-06,285,7.78030440610999e-05,1.58591707467097,1.0417694264038e-08,326,2.0835388528076e-07,6119,"MESH:D019954",1.07190198283752,0.461356932229436,1.1858086910653,0.0557508233229087,0.996013213455082
"Growth Disorders",1.73541691423217,8.38538236138753e-06,93,8.44652577443931e-05,1.91331236399799,1.92374215309962e-08,110,3.44248595817827e-07,1666,"MESH:D006130",1.27361960108255,0.0667695176391809,1.44529156811978,0.00315744405278256,0.995808200651545
"Atrophy",1.45117825629096,9.30433420751791e-06,297,9.27555791615445e-05,1.53373247674375,1.13460375843122e-07,335,1.60735532444423e-06,6621,"MESH:D001284",1.11238982222628,0.250634894131239,1.19154181968151,0.0505717800644746,0.999730907399747
"Nervous System Diseases",1.46212970141861,9.68978404203666e-06,255,9.56124609045862e-05,1.59018649998711,1.38794309191822e-08,293,2.67113576180488e-07,5393,"MESH:D009422",1.06505662892036,0.513891760343212,1.18024167104243,0.0647790441520713,0.981574028648384
"Dyskinesia, Drug-Induced",2.27332822036497,9.81336218634671e-06,41,9.58537498403764e-05,2.16122980541492,2.50014599869269e-05,43,0.000205657170860205,563,"MESH:D004409",1.36035347628907,0.10620395564196,1.280018294892,0.2040114336402,0.812878306639602
"Dystonia",3.18638432968281,1.00528507856588e-05,22,9.72110670973205e-05,3.02955745350567,1.41055864740505e-05,23,0.000119897485029429,220,"MESH:D004421",1.86297983712615,0.0222848188006149,1.75950484424513,0.0389294283713557,0.180701426483492
"Basal Ganglia Diseases",3.39367432527739,1.09342767145346e-05,20,0.000104687580029257,3.06061642628536,4.28794124290207e-05,20,0.000323977782797045,191,"MESH:D001480",1.85581798393716,0.037311198007827,1.63660578646215,0.0899374787995728,0.569500796968318
"Brain Ischemia",2.06454881276284,1.11373485168163e-05,51,0.000105586431527072,1.39570944626139,0.0533732703873513,40,0.132782282427069,790,"MESH:D002545",1.57756495346836,0.00986668715933848,0.973758656438705,0.926772858501773,0.310896197621936
"Thrombosis",1.63852353429331,1.24321081014948e-05,112,0.000116716976059665,1.7842977112799,6.49908396435108e-08,131,1.00440388539971e-06,2131,"MESH:D013927",1.15370640680548,0.245455295768011,1.28322683026041,0.0289623964334184,0.999010544216622
"Weight Loss",1.48676319445303,1.31913002857013e-05,433,0.000122653724771858,1.82575623014718,1.6981380584152e-11,501,8.24809914087384e-10,10352,"MESH:D015431",1.11723093550655,0.291779623428889,1.43524005150963,0.00032744046647728,0.999955126289808
"Ataxia",1.5875675626708,1.38884071169376e-05,129,0.000127444174525123,1.60913265353158,3.09979282338499e-06,143,3.11483304221993e-05,2380,"MESH:D001259",1.1191336876328,0.329388373485328,1.13772014323568,0.24425135084316,0.996526642418156
"Autistic Disorder",2.86226524229127,1.39700956563217e-05,25,0.000127444174525123,2.95225343312152,2.86118319453186e-06,28,2.9184068584225e-05,273,"MESH:D001321",1.83577086585436,0.0160395153617327,1.93413822136525,0.00866935363887161,0.390543035568984
"Thromboangiitis Obliterans",17.3474045305001,1.44353062063497e-05,6,0.000130457393472338,1.51254471877094,0.502345673111346,1,0.61071821999234,14,"MESH:D013919",22.681362760947,0.000492286357492079,0.552135055257471,1,0.00343678379415697
"Embryo Loss",1.59963726126464,1.48465910527131e-05,123,0.000132931977296051,1.83160528934408,2.72516296096696e-09,149,6.77967370777146e-08,2242,"MESH:D020964",1.17695507880017,0.156134596620006,1.39639407589322,0.00243775628091887,0.994935282413936
